resource_id,satellite_id,mission_id,timestamp,orbit_type,orbit_altitude_km,inclination_deg,current_battery_percent,solar_exposure_hours,eclipse_duration_hours,payload_count,payload_power_kw,communication_duration_minutes,communication_bandwidth_mbps,onboard_memory_used_gb,onboard_memory_total_gb,cpu_utilization_percent,temperature_celsius,mission_duration_hours,previous_power_consumption_kw,previous_battery_percent,remaining_battery_percent,power_consumption_kw,memory_after_mission_gb,health_score,mission_risk,memory_utilization_percent
50,SAT-0070,MIS-000050,2024-12-01 15:17:00,MEO,18606,96,71,7.74,1.18,6,7.54,32,118,447,512,97,57.2,6.54,8.0,71,49.2,8.0,447,38.3,HIGH,87.3046875
51,SAT-0069,MIS-000051,2022-12-26 23:28:00,MEO,17271,41,64,7.52,0.43,3,4.12,33,119,266,512,72,48.1,6.66,4.81,64,54.5,4.81,266,71.1,MEDIUM,51.953125
52,SAT-0039,MIS-000052,2025-04-04 05:56:00,LEO,446,93,79,7.1,0.54,0,0.5,119,378,209,512,74,35.9,23.9,2.55,79,63.9,2.55,209,83.6,LOW,40.8203125
53,SAT-0036,MIS-000053,2022-04-06 07:02:00,GEO,35786,15,91,7.85,1.47,6,6.96,114,362,500,512,100,58.9,22.84,8.0,91,56.4,8.0,500,27.2,HIGH,97.65625
54,SAT-0007,MIS-000054,2024-08-29 09:58:00,LEO,528,0,64,1.66,0.86,6,7.37,26,99,432,512,84,62.2,5.32,7.84,64,31.7,7.84,432,34.7,HIGH,84.375
55,SAT-0004,MIS-000055,2023-01-19 21:42:00,LEO,643,75,97,5.93,2.1,2,2.25,4,33,155,512,45,26.3,0.87,2.17,97,99.5,2.17,155,99.8,LOW,30.2734375
56,SAT-0083,MIS-000056,2022-04-01 17:35:00,LEO,890,79,55,7.28,0.29,0,0.5,52,177,91,512,35,18.9,10.52,1.4,55,55.5,1.4,91,82.2,LOW,17.7734375
57,SAT-0065,MIS-000057,2025-06-07 01:06:00,LEO,1118,12,64,6.92,1.72,6,7.15,79,257,500,512,100,61.2,15.8,8.0,64,33.2,8.0,500,15.2,HIGH,97.65625
58,SAT-0061,MIS-000058,2022-07-15 12:57:00,LEO,487,85,85,1.04,0.24,5,5.87,13,61,340,512,68,47.3,2.77,6.29,85,59.7,6.29,340,75.1,LOW,66.40625
59,SAT-0014,MIS-000059,2023-09-12 15:31:00,LEO,893,71,77,6.1,2.3,4,4.77,43,150,333,512,86,52.5,8.73,5.89,77,58.7,5.89,333,60.5,MEDIUM,65.0390625
60,SAT-0045,MIS-000060,2022-01-18 18:49:00,LEO,546,47,83,7.77,0.37,1,1.84,49,168,158,512,52,29.3,9.92,2.62,83,80.1,2.62,158,92.0,LOW,30.859375
61,SAT-0097,MIS-000061,2022-05-25 22:39:00,GEO,35786,75,57,2.19,3.02,4,4.84,52,176,337,512,73,49.4,10.46,5.75,57,30.0,5.75,337,59.2,MEDIUM,65.8203125
62,SAT-0027,MIS-000062,2024-05-27 22:44:00,SSO,891,98,58,3.98,1.72,2,2.32,32,117,193,512,50,32.3,6.5,2.93,58,49.0,2.93,193,79.6,LOW,37.6953125
63,SAT-0059,MIS-000063,2022-08-15 18:59:00,SSO,793,98,70,0.92,0.08,5,5.92,50,170,399,512,99,59.8,10.0,6.67,70,37.2,6.67,399,36.6,HIGH,77.9296875
64,SAT-0052,MIS-000064,2022-08-18 01:49:00,LEO,717,82,82,4.08,0.46,6,6.77,28,105,421,512,92,59.4,5.71,7.18,82,56.9,7.18,421,46.2,MEDIUM,82.2265625
65,SAT-0020,MIS-000065,2022-08-08 11:34:00,LEO,1191,80,86,3.59,3.7,4,5.16,57,191,346,512,91,57.3,11.4,6.36,86,58.6,6.36,346,52.2,MEDIUM,67.578125
66,SAT-0076,MIS-000066,2022-06-13 14:42:00,LEO,475,70,55,2.3,2.58,0,0.5,55,186,105,512,48,25.9,11.12,1.66,55,44.1,1.66,105,77.6,LOW,20.5078125
67,SAT-0042,MIS-000067,2025-10-17 08:52:00,MEO,12381,78,61,5.71,2.02,6,6.94,97,313,500,512,100,62.2,19.56,8.0,61,24.8,8.0,500,10.6,HIGH,97.65625
68,SAT-0007,MIS-000068,2024-09-01 17:41:00,LEO,496,44,59,5.25,3.63,2,2.92,47,163,222,512,67,34.8,9.58,3.75,59,46.8,3.75,222,78.7,LOW,43.359375
69,SAT-0049,MIS-000069,2024-08-14 18:10:00,SSO,878,98,51,5.36,2.03,4,4.49,119,378,466,512,100,53.3,23.93,6.54,51,16.4,6.54,466,24.6,HIGH,91.015625
70,SAT-0038,MIS-000070,2022-10-22 14:15:00,MEO,18682,98,88,7.01,2.47,0,0.66,106,339,180,512,57,34.7,21.27,2.5,88,75.0,2.5,180,90.0,LOW,35.15625
71,SAT-0031,MIS-000071,2025-07-17 19:44:00,GEO,35786,36,62,6.47,1.88,1,1.41,30,110,127,512,50,27.5,6.0,1.97,62,62.3,1.97,127,84.9,LOW,24.8046875
72,SAT-0033,MIS-000072,2022-06-01 23:37:00,GEO,35786,11,67,2.28,3.05,4,5.25,86,278,386,512,100,60.5,17.22,6.8,67,30.6,6.8,386,32.6,HIGH,75.390625
73,SAT-0051,MIS-000073,2024-12-25 05:48:00,LEO,483,97,58,5.2,3.17,0,0.84,5,37,36,512,27,21.8,1.16,0.76,58,64.4,0.76,36,85.8,LOW,7.03125
74,SAT-0028,MIS-000074,2023-03-12 12:10:00,MEO,14975,63,76,2.41,0.19,6,6.89,52,176,462,512,100,57.6,10.45,8.0,76,40.5,8.0,462,29.8,HIGH,90.234375
75,SAT-0001,MIS-000075,2024-10-24 15:37:00,LEO,826,60,82,0.54,2.1,4,5.37,81,263,391,512,98,53.1,16.2,7.07,82,41.8,7.07,391,47.0,MEDIUM,76.3671875
76,SAT-0009,MIS-000076,2024-10-01 07:26:00,LEO,1072,59,71,1.07,1.41,5,6.26,93,299,480,512,100,64.8,18.63,8.0,71,26.2,8.0,480,12.0,HIGH,93.75
77,SAT-0059,MIS-000077,2022-04-18 17:21:00,LEO,444,36,84,4.12,3.96,2,3.13,106,339,319,512,73,46.2,21.32,5.04,84,55.0,5.04,319,73.1,MEDIUM,62.3046875
78,SAT-0052,MIS-000078,2025-07-04 19:49:00,SSO,595,98,55,6.38,1.07,3,3.67,60,202,295,512,66,44.2,12.16,4.99,55,38.1,4.99,295,70.2,MEDIUM,57.6171875
79,SAT-0040,MIS-000079,2025-07-22 19:46:00,GEO,35786,51,77,6.96,1.41,3,3.34,54,183,274,512,62,41.1,10.93,4.24,77,65.2,4.24,274,84.8,LOW,53.515625
80,SAT-0057,MIS-000080,2022-04-12 08:37:00,LEO,641,73,78,0.26,0.61,3,4.25,45,156,271,512,69,48.3,9.11,5.47,78,49.4,5.47,271,69.8,MEDIUM,52.9296875
81,SAT-0015,MIS-000081,2022-03-17 11:28:00,GEO,35786,9,89,2.08,1.79,0,0.5,109,349,186,512,68,29.1,21.97,2.33,89,66.3,2.33,186,86.5,LOW,36.328125
82,SAT-0091,MIS-000082,2022-07-09 03:34:00,MEO,19603,30,73,5.6,0.7,5,6.21,102,327,475,512,100,64.9,20.51,8.0,73,35.8,8.0,475,16.7,HIGH,92.7734375
83,SAT-0071,MIS-000083,2023-01-13 23:39:00,GEO,35786,59,86,4.21,3.08,5,6.22,49,167,403,512,89,51.1,9.86,6.89,86,59.0,6.89,403,60.8,MEDIUM,78.7109375
84,SAT-0024,MIS-000084,2023-01-11 20:03:00,LEO,456,10,72,2.58,2.84,2,2.36,63,210,254,512,71,37.6,12.68,3.88,72,51.5,3.88,254,80.1,LOW,49.609375
85,SAT-0065,MIS-000085,2023-05-07 04:30:00,MEO,7526,82,52,2.7,3.7,5,6.4,79,259,434,512,91,55.7,15.98,8.0,52,12.6,8.0,434,30.9,HIGH,84.765625
86,SAT-0004,MIS-000086,2025-12-21 15:23:00,SSO,828,98,79,6.46,1.62,3,3.54,114,364,373,512,86,47.8,22.98,5.31,79,52.3,5.31,373,63.6,MEDIUM,72.8515625
87,SAT-0041,MIS-000087,2024-10-02 23:09:00,SSO,689,98,65,3.73,1.07,0,0.5,63,209,114,512,36,27.5,12.6,1.45,65,56.6,1.45,114,82.6,LOW,22.265625
88,SAT-0074,MIS-000088,2024-06-29 20:21:00,LEO,563,6,79,0.72,1.57,2,2.7,57,192,234,512,58,36.6,11.47,4.13,79,54.7,4.13,234,81.9,LOW,45.703125
89,SAT-0034,MIS-000089,2024-12-01 09:42:00,GEO,35786,79,82,4.43,0.29,4,4.59,8,45,266,512,70,46.7,1.7,4.85,82,70.1,4.85,266,80.0,LOW,51.953125
90,SAT-0044,MIS-000090,2024-11-30 21:44:00,GEO,35786,17,80,1.1,1.33,0,0.5,49,168,103,512,33,26.5,9.93,1.49,80,68.3,1.49,103,87.3,LOW,20.1171875
91,SAT-0039,MIS-000091,2024-09-06 18:12:00,MEO,13721,92,57,0.13,1.32,2,2.67,85,277,271,512,82,47.7,17.16,4.59,57,25.2,4.59,271,54.8,MEDIUM,52.9296875
92,SAT-0093,MIS-000092,2022-05-30 13:59:00,MEO,13589,40,52,1.18,2.72,6,7.44,87,281,500,512,100,57.2,17.45,8.0,52,8.4,8.0,500,10.1,HIGH,97.65625
93,SAT-0095,MIS-000093,2022-07-01 09:46:00,GEO,35786,98,79,3.01,3.83,5,5.98,40,142,387,512,86,54.1,8.14,7.1,79,50.1,7.1,387,55.1,MEDIUM,75.5859375
94,SAT-0039,MIS-000094,2023-10-17 23:20:00,SSO,647,98,100,2.54,1.4,5,6.2,85,276,444,512,100,62.5,17.07,7.93,100,59.7,7.93,444,35.2,HIGH,86.71875
95,SAT-0037,MIS-000095,2022-08-19 04:33:00,LEO,852,30,94,4.31,3.73,1,1.3,90,290,228,512,59,35.4,18.06,2.8,94,77.0,2.8,228,90.8,LOW,44.53125
96,SAT-0061,MIS-000096,2022-10-20 20:35:00,GEO,35786,7,80,7.48,3.51,1,1.51,117,372,262,512,75,37.7,23.48,3.72,80,61.3,3.72,262,82.0,LOW,51.171875
97,SAT-0023,MIS-000097,2025-05-02 04:16:00,SSO,703,98,52,7.7,3.7,1,2.04,95,305,236,512,76,35.0,19.02,3.43,52,38.5,3.43,236,72.4,MEDIUM,46.09375
98,SAT-0018,MIS-000098,2025-09-25 05:01:00,LEO,515,81,100,1.49,2.95,5,5.76,88,285,451,512,100,60.1,17.68,7.24,100,59.9,7.24,451,36.7,HIGH,88.0859375
99,SAT-0024,MIS-000099,2023-02-14 13:28:00,MEO,5111,30,96,7.63,1.21,3,4.05,47,162,281,512,67,42.2,9.51,5.04,96,83.5,5.04,281,90.8,LOW,54.8828125
100,SAT-0091,MIS-000100,2024-06-24 18:56:00,GEO,35786,68,88,3.83,1.82,1,2.06,74,244,213,512,66,36.4,14.94,3.37,88,70.2,3.37,213,88.1,LOW,41.6015625
101,SAT-0011,MIS-000101,2025-07-25 05:56:00,MEO,6279,26,59,4.04,2.29,6,7.15,15,67,404,512,92,53.9,3.14,7.33,59,35.2,7.33,404,46.4,MEDIUM,78.90625
102,SAT-0059,MIS-000102,2023-01-20 07:34:00,MEO,14239,44,50,5.79,1.58,5,6.31,68,224,416,512,100,56.5,13.63,7.77,50,19.6,7.77,416,31.8,HIGH,81.25
103,SAT-0053,MIS-000103,2023-06-09 05:36:00,GEO,35786,44,74,7.13,1.79,3,3.67,78,255,314,512,88,49.3,15.68,5.04,74,55.6,5.04,314,62.1,MEDIUM,61.328125
104,SAT-0097,MIS-000104,2022-03-08 05:18:00,SSO,868,98,59,1.84,1.84,4,4.78,66,219,352,512,79,52.4,13.29,5.88,59,28.5,5.88,352,52.0,MEDIUM,68.75
105,SAT-0058,MIS-000105,2022-05-22 18:43:00,LEO,445,98,68,6.21,0.56,1,1.85,30,110,123,512,50,30.0,6.01,2.31,68,66.4,2.31,123,86.5,LOW,24.0234375
106,SAT-0067,MIS-000106,2023-10-06 20:00:00,LEO,681,48,81,5.01,1.71,5,6.41,113,361,500,512,100,63.4,22.79,8.0,81,40.8,8.0,500,15.6,HIGH,97.65625
107,SAT-0097,MIS-000107,2025-10-11 05:21:00,LEO,630,42,85,4.5,3.87,3,4.21,19,78,223,512,59,38.2,3.89,4.71,85,72.0,4.71,223,88.8,LOW,43.5546875
108,SAT-0049,MIS-000108,2022-04-26 04:34:00,SSO,889,98,71,3.84,3.48,5,6.06,71,234,425,512,88,61.0,14.31,7.26,71,38.2,7.26,425,38.1,HIGH,83.0078125
109,SAT-0051,MIS-000109,2023-11-29 02:26:00,MEO,9637,26,81,2.09,2.05,5,5.86,57,191,420,512,97,60.6,11.46,6.94,81,48.3,6.94,420,39.0,HIGH,82.03125
110,SAT-0003,MIS-000110,2024-01-30 13:25:00,MEO,14488,32,65,1.84,2.28,1,1.3,51,174,177,512,60,33.1,10.31,2.31,65,51.2,2.31,177,80.5,LOW,34.5703125
111,SAT-0093,MIS-000111,2025-11-23 07:47:00,LEO,955,8,98,7.56,2.67,6,7.45,64,212,493,512,99,63.1,12.81,8.0,98,70.9,8.0,493,29.8,HIGH,96.2890625
112,SAT-0082,MIS-000112,2025-11-08 10:25:00,GEO,35786,22,68,5.78,2.14,0,0.5,67,221,137,512,49,29.9,13.46,1.43,68,63.1,1.43,137,85.2,LOW,26.7578125
113,SAT-0033,MIS-000113,2024-10-29 09:13:00,LEO,806,83,93,7.92,0.9,3,3.87,115,365,389,512,88,57.2,23.04,6.17,93,65.7,6.17,389,56.7,MEDIUM,75.9765625
114,SAT-0082,MIS-000114,2022-01-28 12:36:00,GEO,35786,88,83,6.86,0.38,2,2.77,78,254,256,512,68,45.7,15.66,4.52,83,66.1,4.52,256,79.6,LOW,50.0
115,SAT-0036,MIS-000115,2022-04-06 20:00:00,LEO,722,49,69,6.57,3.72,6,7.42,71,234,497,512,100,65.3,14.3,8.0,69,38.7,8.0,497,13.0,HIGH,97.0703125
116,SAT-0089,MIS-000116,2022-08-17 10:29:00,MEO,5879,57,88,4.84,2.46,6,6.68,53,181,451,512,100,62.0,10.77,7.66,88,58.4,7.66,451,33.9,HIGH,88.0859375
117,SAT-0075,MIS-000117,2025-01-12 01:00:00,LEO,1033,0,59,3.04,3.14,0,0.5,86,278,154,512,54,25.9,17.26,2.26,59,42.2,2.26,154,76.9,LOW,30.078125
118,SAT-0024,MIS-000118,2025-06-09 07:39:00,LEO,968,10,70,0.74,2.39,0,0.5,14,63,37,512,15,16.7,2.93,1.15,70,64.5,1.15,37,85.8,LOW,7.2265625
119,SAT-0035,MIS-000119,2024-05-27 02:36:00,LEO,549,58,65,6.26,1.44,3,3.6,53,180,289,512,76,45.6,10.71,4.8,65,49.8,4.8,289,70.2,MEDIUM,56.4453125
120,SAT-0049,MIS-000120,2024-08-17 20:38:00,LEO,840,94,80,4.83,2.78,1,1.4,116,370,282,512,78,37.3,23.39,3.37,80,57.5,3.37,282,79.0,LOW,55.078125
121,SAT-0051,MIS-000121,2024-11-29 04:26:00,LEO,977,88,79,4.4,3.81,1,1.78,119,379,270,512,73,44.5,23.94,4.24,79,51.7,4.24,270,73.8,MEDIUM,52.734375
122,SAT-0085,MIS-000122,2023-03-25 23:23:00,GEO,35786,89,94,4.27,3.69,3,3.88,118,376,400,512,88,56.1,23.78,5.95,94,59.7,5.95,400,55.6,MEDIUM,78.125
123,SAT-0079,MIS-000123,2022-05-10 00:33:00,MEO,16099,74,56,6.37,0.42,6,6.93,49,168,467,512,100,61.1,9.89,7.74,56,29.9,7.74,467,20.4,HIGH,91.2109375
124,SAT-0076,MIS-000124,2025-12-28 17:05:00,LEO,425,60,69,7.53,0.57,0,0.5,37,131,80,512,30,20.5,7.44,1.16,69,73.5,1.16,80,89.4,LOW,15.625
125,SAT-0015,MIS-000125,2022-03-07 18:48:00,SSO,846,98,85,1.4,0.64,5,5.74,96,309,466,512,100,62.8,19.3,7.45,85,42.6,7.45,466,23.6,HIGH,91.015625
126,SAT-0058,MIS-000126,2025-06-05 03:55:00,LEO,1121,33,84,0.5,0.41,5,6.31,35,125,367,512,84,53.7,7.04,6.83,84,52.0,6.83,367,57.4,MEDIUM,71.6796875
127,SAT-0079,MIS-000127,2025-02-17 08:48:00,MEO,10766,39,87,6.4,3.67,6,7.27,75,245,495,512,100,58.2,15.01,8.0,87,55.8,8.0,495,28.8,HIGH,96.6796875
128,SAT-0074,MIS-000128,2025-01-22 15:16:00,LEO,898,6,68,1.39,0.67,5,6.43,84,272,465,512,100,60.4,16.8,7.73,68,26.4,7.73,465,20.3,HIGH,90.8203125
129,SAT-0065,MIS-000129,2025-12-12 16:54:00,LEO,903,21,64,4.52,3.18,3,3.47,101,323,353,512,88,48.6,20.24,5.16,64,36.2,5.16,353,55.2,MEDIUM,68.9453125
130,SAT-0100,MIS-000130,2024-12-04 13:29:00,MEO,5681,57,91,3.4,2.94,4,4.62,87,281,411,512,93,59.2,17.4,6.4,91,58.3,6.4,411,48.5,MEDIUM,80.2734375
131,SAT-0031,MIS-000131,2023-09-04 07:32:00,SSO,679,98,63,1.33,0.56,4,5.03,103,330,428,512,92,55.4,20.73,7.13,63,20.6,7.13,428,35.1,HIGH,83.59375
132,SAT-0035,MIS-000132,2022-10-05 08:43:00,LEO,1168,86,65,1.02,3.46,2,3.07,110,351,327,512,84,43.5,22.09,4.81,65,30.1,4.81,327,60.9,MEDIUM,63.8671875
