orbit_type,orbit_altitude_km,inclination_deg,current_battery_percent,solar_exposure_hours,eclipse_duration_hours,payload_count,payload_power_kw,communication_duration_minutes,communication_bandwidth_mbps,onboard_memory_used_gb,onboard_memory_total_gb,cpu_utilization_percent,temperature_celsius,mission_duration_hours,previous_power_consumption_kw,previous_battery_percent,power_consumption_kw,remaining_battery_percent,mission_risk,health_score,memory_utilization_percent
GEO,35786.0,4.72,91.67,3.24,0.49,2,1.74,48.4,393.19,328.26,512.0,54.09,28.51,9.08,2.35,91.09,2.29,0.0,HIGH,34.45,64.11328125
LEO,427.94,90.02,78.53,4.45,1.54,4,4.62,48.04,381.08,166.02,512.0,56.93,30.51,6.52,4.94,74.17,5.04,0.0,HIGH,37.01,32.42578125
GEO,35786.0,4.69,88.86,4.11,0.29,1,0.89,52.43,197.55,473.03,512.0,45.24,40.12,1.03,1.11,87.66,1.27,100.0,LOW,75.41,92.388671875
MEO,17094.62,49.44,36.3,3.37,0.77,4,1.65,5.06,385.58,33.38,512.0,72.11,26.14,1.83,2.11,34.37,1.86,54.68,MEDIUM,60.31,6.519531250000001
MEO,17073.57,48.16,57.66,4.41,0.38,2,2.37,43.84,70.04,324.28,512.0,91.47,62.95,1.99,3.07,49.87,2.8,74.48,HIGH,19.92,63.33593749999999
LEO,695.44,56.51,60.72,2.44,1.2,2,1.55,47.73,439.44,238.35,512.0,19.03,35.31,8.86,2.19,64.98,2.09,0.0,HIGH,37.1,46.552734375
SSO,624.68,98.52,50.64,1.98,0.43,2,1.01,10.44,434.08,283.62,512.0,70.13,62.82,2.79,1.46,52.69,1.36,49.68,MEDIUM,63.76,55.39453125
SSO,762.36,97.59,91.65,4.28,0.03,1,1.01,31.24,378.57,279.77,512.0,10.62,74.52,4.05,1.35,95.94,1.32,100.0,HIGH,34.18,54.642578125
LEO,728.55,43.45,69.81,2.5,0.35,1,1.08,33.05,303.02,315.04,512.0,18.2,38.1,7.78,1.4,64.99,1.58,20.01,HIGH,29.63,61.53125000000001
GEO,35786.0,3.66,70.79,0.96,1.43,2,0.83,58.22,105.12,172.12,512.0,30.28,71.61,3.05,1.09,75.5,1.12,60.22,HIGH,24.16,33.6171875
GEO,35786.0,0.04,38.88,3.22,0.2,4,3.96,52.64,397.61,477.02,512.0,24.53,59.93,3.17,4.35,40.6,4.26,0.0,HIGH,30.46,93.16796875
LEO,874.03,64.01,99.71,1.93,1.28,1,1.07,35.74,230.21,169.29,512.0,77.69,59.44,9.29,1.46,94.16,1.53,30.26,MEDIUM,72.62,33.064453125
GEO,35786.0,4.17,49.78,3.58,0.59,1,0.55,41.84,154.31,250.5,512.0,67.35,33.72,4.39,0.65,53.54,0.95,65.63,LOW,94.51,48.92578125
LEO,442.56,83.88,46.04,2.22,1.35,4,1.85,46.76,123.45,229.33,512.0,58.48,74.08,8.2,2.71,46.36,2.43,0.0,HIGH,23.43,44.791015625
SSO,644.08,97.18,65.89,3.29,1.65,3,1.67,20.89,255.78,52.27,512.0,48.61,44.96,9.25,2.41,67.9,2.05,0.0,HIGH,23.79,10.208984375
GEO,35786.0,2.87,57.28,1.43,0.52,3,2.57,54.42,303.95,89.47,512.0,27.31,53.57,2.5,3.08,59.64,2.96,26.25,MEDIUM,71.39,17.474609375
MEO,4329.84,50.44,98.3,3.08,0.45,2,1.02,54.0,442.18,149.48,512.0,73.8,59.73,2.06,1.76,91.4,1.44,100.0,MEDIUM,66.52,29.195312499999996
LEO,926.3,47.04,62.0,0.66,0.89,5,4.24,16.84,423.29,303.4,512.0,38.61,55.66,2.82,4.39,63.84,4.57,0.0,HIGH,39.68,59.25781249999999
MEO,5873.2,58.88,70.78,0.89,1.03,1,0.61,48.56,295.86,208.61,512.0,14.38,26.01,4.34,0.71,72.54,1.1,50.36,LOW,83.16,40.744140625
GEO,35786.0,2.35,97.28,1.38,0.51,4,4.26,33.9,158.87,162.51,512.0,11.04,34.02,6.52,4.5,93.45,4.64,0.0,HIGH,29.94,31.740234375
SSO,737.24,97.42,51.01,1.9,1.56,1,0.45,9.07,283.12,469.91,512.0,27.81,36.4,8.24,0.83,44.11,0.7,36.22,MEDIUM,61.03,91.779296875
GEO,35786.0,3.13,41.78,3.71,1.43,4,4.34,6.29,327.66,414.12,512.0,52.31,79.67,2.91,5.05,44.38,4.73,0.0,HIGH,18.98,80.8828125
GEO,35786.0,1.86,33.95,2.63,0.96,4,1.69,14.83,67.12,246.87,512.0,69.19,45.72,7.12,1.81,26.09,2.02,0.0,HIGH,41.45,48.216796875
MEO,4891.76,54.6,44.64,0.65,1.7,5,4.52,44.95,387.04,309.56,512.0,20.15,79.38,8.29,4.58,38.03,4.93,0.0,HIGH,15.81,60.4609375
GEO,35786.0,2.52,54.18,3.57,0.7,2,1.89,41.6,153.61,121.82,512.0,41.35,53.09,5.9,2.55,58.81,2.22,11.97,HIGH,30.87,23.79296875
LEO,717.47,50.02,47.64,2.09,1.17,4,3.5,32.17,410.75,157.41,512.0,28.87,61.23,9.83,3.81,43.23,3.98,0.0,HIGH,33.59,30.744140625
MEO,13304.89,48.88,96.09,3.11,0.89,4,4.79,12.23,117.74,14.74,512.0,90.94,38.76,3.56,5.06,99.1,5.36,9.24,HIGH,23.55,2.87890625
SSO,767.32,97.62,31.01,0.98,0.45,3,3.51,58.05,165.77,106.67,512.0,82.77,38.44,3.55,4.07,27.62,4.06,0.0,HIGH,23.86,20.833984375
MEO,12292.93,59.82,65.05,1.45,1.15,4,3.48,57.06,176.33,372.59,512.0,63.47,28.26,7.56,4.1,60.88,3.9,0.0,HIGH,43.48,72.771484375
MEO,5450.46,52.21,55.48,1.97,1.06,2,1.02,36.06,376.15,332.66,512.0,92.88,54.55,4.17,1.52,53.11,1.58,36.34,HIGH,39.73,64.97265625
LEO,760.05,57.07,75.13,2.49,1.69,4,2.55,33.1,82.55,62.98,512.0,83.25,33.34,8.66,2.78,67.67,2.8,0.0,HIGH,11.26,12.30078125
MEO,8894.55,46.3,96.53,4.08,0.08,5,3.29,42.43,58.22,145.92,512.0,64.86,33.81,5.81,3.26,97.42,3.62,8.7,HIGH,36.73,28.499999999999996
MEO,6506.91,59.64,97.21,2.54,0.2,4,4.11,59.01,340.68,469.1,512.0,44.75,70.75,1.55,4.21,91.86,4.44,82.98,HIGH,14.25,91.62109375
MEO,10461.52,56.29,36.92,2.76,1.56,2,1.95,52.67,93.53,243.31,512.0,13.74,72.67,2.8,1.94,37.51,2.31,27.91,HIGH,25.82,47.521484375
GEO,35786.0,0.55,55.83,2.56,1.52,4,3.92,45.61,188.97,471.5,512.0,14.08,58.84,7.73,3.99,53.9,4.31,0.0,HIGH,35.97,92.08984375
LEO,323.12,34.26,48.17,2.86,1.6,3,1.38,37.68,376.27,257.56,512.0,46.52,35.89,8.69,1.74,49.51,1.82,0.0,HIGH,37.74,50.3046875
SSO,555.5,98.11,43.61,1.98,0.75,3,1.96,41.25,397.8,275.36,512.0,58.23,43.76,1.26,2.43,42.7,2.4,47.68,LOW,79.3,53.78125
GEO,35786.0,0.73,86.98,1.29,0.47,4,3.07,22.31,192.39,47.98,512.0,44.78,78.92,7.48,3.65,85.75,3.47,0.0,HIGH,40.7,9.37109375
LEO,361.42,52.78,54.68,3.17,1.42,3,3.49,19.72,286.53,110.51,512.0,76.71,20.23,7.99,4.06,55.44,3.7,0.0,HIGH,29.21,21.583984375
SSO,666.24,98.78,40.28,4.1,0.49,2,1.26,21.31,303.84,87.22,512.0,84.78,79.67,6.55,1.19,34.81,1.47,27.06,HIGH,43.0,17.03515625
LEO,975.28,63.18,42.21,0.83,0.68,4,4.54,44.37,300.6,304.94,512.0,55.47,44.04,7.86,4.85,46.05,5.06,0.0,HIGH,11.71,59.55859375
LEO,493.73,65.16,74.66,0.99,0.53,5,5.24,45.24,427.54,117.72,512.0,78.88,62.59,1.51,5.48,70.29,5.69,30.8,MEDIUM,51.65,22.9921875
SSO,655.75,97.64,64.85,1.49,0.59,3,1.45,6.43,157.19,276.63,512.0,63.74,71.41,9.79,1.79,63.51,2.05,0.0,HIGH,40.12,54.029296875
LEO,753.74,30.52,69.82,0.72,1.8,5,4.29,17.9,396.77,374.38,512.0,88.9,74.23,9.41,4.43,71.8,4.76,0.0,HIGH,19.5,73.12109375
MEO,13530.36,48.37,58.36,4.36,1.08,5,5.17,16.56,130.9,411.73,512.0,43.91,34.91,4.68,5.87,61.71,5.66,0.0,HIGH,41.88,80.416015625
SSO,782.9,98.84,59.71,3.39,0.64,2,0.85,33.73,397.93,150.11,512.0,37.59,30.43,2.75,1.17,52.78,1.11,80.57,LOW,79.9,29.318359375000004
GEO,35786.0,0.16,79.84,0.87,0.92,4,1.93,53.72,238.35,390.06,512.0,72.84,20.57,6.06,2.51,77.75,2.44,0.0,HIGH,13.72,76.18359375
MEO,9906.0,56.44,37.49,3.84,1.76,3,1.94,59.72,168.36,438.7,512.0,90.71,41.99,3.35,2.54,31.89,2.44,30.41,HIGH,35.16,85.68359375
LEO,786.77,96.64,39.39,1.13,1.69,3,2.48,39.92,201.39,343.4,512.0,11.95,29.16,7.21,2.99,35.35,2.77,0.0,HIGH,40.23,67.0703125
GEO,35786.0,3.93,48.55,2.13,1.42,1,1.02,19.64,197.26,153.38,512.0,70.9,45.0,7.92,1.21,52.88,1.59,0.0,HIGH,15.4,29.95703125
LEO,680.44,97.57,57.9,4.38,1.06,1,1.11,50.54,399.09,17.75,512.0,26.1,22.72,1.21,1.68,62.25,1.38,99.6,LOW,87.72,3.466796875
MEO,5576.11,45.59,34.75,3.3,1.24,1,1.16,11.05,83.39,213.37,512.0,66.76,66.63,6.96,1.03,39.67,1.41,10.71,HIGH,28.78,41.673828125
GEO,35786.0,3.1,99.63,3.27,0.52,3,3.36,12.07,61.59,448.98,512.0,11.11,59.53,7.8,4.02,94.93,3.77,0.0,HIGH,26.72,87.69140625
GEO,35786.0,0.71,59.81,3.0,1.53,2,1.91,17.92,244.47,292.91,512.0,35.84,32.13,9.62,2.78,55.54,2.41,0.0,HIGH,33.55,57.20898437500001
SSO,599.28,97.05,94.83,0.87,0.99,3,2.34,50.21,262.2,111.94,512.0,14.9,25.08,1.14,3.14,98.99,2.85,84.12,LOW,80.9,21.86328125
GEO,35786.0,0.32,34.03,4.21,1.76,1,0.97,41.33,357.48,292.83,512.0,59.09,40.81,2.66,1.45,27.56,1.2,63.84,LOW,77.28,57.193359375
MEO,14403.68,46.39,48.22,2.31,1.67,2,2.31,30.53,94.24,307.4,512.0,79.88,42.62,5.74,3.18,41.09,2.85,0.0,HIGH,31.01,60.03906249999999
LEO,564.13,40.67,85.94,2.82,0.87,2,2.35,37.73,435.95,407.41,512.0,45.03,73.35,3.78,2.7,80.2,2.84,49.94,HIGH,23.09,79.572265625
LEO,560.53,95.25,99.75,1.59,1.22,5,3.95,13.63,90.74,410.59,512.0,28.61,61.19,9.32,4.31,100.0,4.19,0.0,HIGH,19.64,80.193359375
LEO,687.45,48.95,39.69,3.57,0.01,3,1.9,55.71,361.01,43.01,512.0,74.83,57.98,3.36,2.04,41.79,2.2,34.48,MEDIUM,67.16,8.400390625
LEO,775.37,80.68,66.22,4.26,0.95,4,3.88,20.0,372.74,270.25,512.0,93.72,74.49,2.24,3.99,58.66,4.33,54.36,HIGH,43.24,52.783203125
SSO,607.27,98.19,94.92,2.39,0.94,3,2.27,29.76,171.67,417.92,512.0,53.65,40.57,7.65,2.73,87.97,2.83,0.0,HIGH,14.91,81.625
SSO,697.22,98.65,40.68,2.48,0.3,1,1.17,46.35,265.01,76.65,512.0,63.69,41.78,4.92,1.44,41.82,1.58,20.0,HIGH,11.26,14.970703125000002
LEO,308.46,70.99,99.0,2.25,0.06,1,0.64,53.32,229.39,47.08,512.0,89.47,39.17,3.79,1.16,100.0,0.99,100.0,HIGH,28.42,9.1953125
LEO,768.19,43.81,39.99,2.56,0.29,4,2.98,5.02,299.81,343.14,512.0,88.24,21.15,9.57,3.06,44.16,3.41,0.0,HIGH,18.84,67.01953125
GEO,35786.0,0.58,66.81,2.03,1.13,3,1.6,25.08,134.44,227.64,512.0,47.83,78.36,2.37,2.06,62.61,2.1,58.75,HIGH,41.5,44.4609375
SSO,606.05,98.95,73.83,2.46,1.01,5,2.03,59.46,214.76,295.48,512.0,43.56,28.83,6.09,2.3,77.67,2.28,12.91,HIGH,30.3,57.7109375
MEO,12951.46,49.07,53.22,2.77,1.65,5,3.88,36.91,378.73,363.95,512.0,82.73,39.86,8.91,4.27,50.5,4.32,0.0,HIGH,36.52,71.083984375
MEO,2752.57,49.43,71.91,0.81,0.93,4,2.95,19.96,112.14,230.03,512.0,65.15,73.59,2.23,3.66,70.69,3.49,31.07,HIGH,17.37,44.927734375
SSO,775.87,97.46,64.81,3.74,0.82,3,2.25,57.47,446.99,387.83,512.0,35.73,53.38,6.0,2.72,57.92,2.71,3.83,HIGH,39.05,75.748046875
GEO,35786.0,1.71,57.52,1.74,1.46,3,2.52,36.48,407.34,199.57,512.0,33.08,42.07,2.27,2.56,58.04,2.82,36.77,MEDIUM,65.55,38.978515625
GEO,35786.0,0.79,69.5,4.0,0.1,4,3.06,26.16,196.93,136.82,512.0,93.82,67.37,2.66,3.56,66.62,3.27,61.01,HIGH,14.84,26.72265625
MEO,9635.31,58.9,64.59,4.26,0.3,2,1.27,13.65,64.59,321.44,512.0,21.57,45.38,7.65,1.55,62.74,1.86,22.94,HIGH,17.36,62.78125
LEO,495.69,42.73,32.06,3.18,0.15,1,0.9,59.66,72.85,171.79,512.0,64.91,39.12,6.01,1.13,27.14,1.26,20.86,HIGH,21.97,33.552734375
SSO,754.46,97.9,97.07,3.77,0.24,1,0.4,49.49,278.2,309.0,512.0,91.58,60.47,9.22,0.7,97.59,0.9,88.54,HIGH,17.57,60.3515625
LEO,401.42,82.34,79.99,4.46,0.62,5,2.79,40.91,301.95,439.67,512.0,62.51,35.33,9.97,3.49,77.91,3.32,0.0,HIGH,28.93,85.873046875
LEO,800.89,62.42,39.8,3.28,0.31,5,4.4,5.35,352.15,190.93,512.0,71.88,57.78,4.48,4.9,34.58,4.94,0.0,HIGH,35.27,37.291015625
LEO,841.51,81.89,63.45,0.54,1.0,2,1.9,57.37,215.13,473.84,512.0,18.76,50.62,9.21,2.09,57.18,2.43,0.0,HIGH,17.13,92.546875
MEO,7057.03,57.84,87.66,1.38,1.31,3,2.88,42.01,180.55,427.4,512.0,46.86,33.68,7.92,3.26,80.61,3.1,0.0,HIGH,11.47,83.4765625
LEO,516.08,74.15,74.89,0.55,0.78,2,0.8,28.25,191.62,354.07,512.0,28.39,44.27,9.97,1.13,79.15,1.38,0.0,HIGH,14.99,69.154296875
SSO,565.16,98.61,75.96,1.79,0.29,3,2.94,16.78,239.09,469.22,512.0,54.95,67.16,1.33,3.1,79.04,3.47,67.41,HIGH,26.13,91.64453125
SSO,542.34,97.48,37.17,3.11,1.06,3,2.64,47.02,276.26,174.89,512.0,49.21,44.69,3.44,3.28,38.25,3.22,2.57,HIGH,34.53,34.158203125
SSO,580.84,97.49,62.44,1.2,0.73,1,0.81,42.57,250.56,366.02,512.0,47.4,64.53,5.22,1.57,65.96,1.24,34.72,MEDIUM,54.6,71.48828125
SSO,585.84,97.46,82.58,0.52,1.05,1,0.95,21.95,266.83,300.93,512.0,47.25,58.82,8.44,1.13,79.53,1.51,6.11,HIGH,27.99,58.775390625
SSO,577.46,97.02,78.53,4.08,0.16,1,1.06,48.76,372.26,96.99,512.0,28.79,57.19,5.19,1.3,71.92,1.6,73.53,MEDIUM,58.33,18.943359375
LEO,532.52,35.57,51.62,3.73,0.35,5,5.27,41.46,282.47,438.1,512.0,39.92,22.61,1.72,5.28,50.72,5.49,34.87,MEDIUM,56.21,85.56640625
MEO,19601.27,47.62,40.1,0.62,1.78,1,1.16,14.81,414.67,32.75,512.0,72.25,57.63,7.13,1.86,40.01,1.74,0.0,HIGH,20.41,6.396484375
SSO,705.43,97.7,99.55,4.42,1.49,4,3.9,44.45,367.47,95.72,512.0,19.28,27.05,8.8,4.52,97.87,4.19,0.0,HIGH,14.73,18.6953125
GEO,35786.0,2.98,63.81,3.5,1.79,1,0.77,28.56,182.47,174.95,512.0,85.7,31.31,5.74,1.34,64.67,1.11,64.42,HIGH,22.92,34.169921875
MEO,3406.59,52.34,76.38,1.03,1.38,4,3.72,15.67,193.68,102.08,512.0,74.79,24.1,7.81,4.34,73.33,4.25,0.0,HIGH,16.57,19.9375
LEO,623.64,34.83,70.14,3.9,1.39,4,2.48,37.86,279.68,177.53,512.0,81.48,74.74,7.03,3.39,71.7,3.04,0.0,HIGH,14.31,34.673828125
MEO,18326.06,51.35,65.01,4.34,0.03,1,0.67,30.58,148.26,86.17,512.0,74.62,36.21,9.78,1.06,68.42,1.25,37.8,MEDIUM,53.6,16.830078125
LEO,319.24,76.99,39.73,2.86,0.74,5,5.86,59.24,226.03,401.59,512.0,24.52,29.26,8.91,6.5,41.32,6.26,0.0,HIGH,25.49,78.435546875
LEO,704.96,94.01,45.62,4.39,1.53,1,1.05,37.31,396.01,416.18,512.0,76.81,69.41,1.49,1.48,45.22,1.55,83.26,HIGH,13.16,81.28515625
LEO,605.54,45.53,91.76,3.01,1.66,5,2.48,52.83,234.44,132.29,512.0,28.75,23.32,1.8,2.76,91.37,3.07,91.95,LOW,99.8,25.837890625
GEO,35786.0,1.25,88.09,0.88,1.39,5,4.14,31.4,182.81,201.06,512.0,51.96,22.24,9.5,4.68,85.89,4.71,0.0,HIGH,34.57,39.26953125
LEO,785.07,47.23,39.57,2.81,0.34,2,1.23,39.89,370.74,453.27,512.0,16.82,41.77,2.3,1.11,32.98,1.44,51.78,LOW,93.6,88.529296875
SSO,738.7,98.67,39.93,0.76,0.46,4,1.61,28.0,302.78,100.69,512.0,42.96,56.98,4.36,1.6,42.42,1.99,0.0,HIGH,11.85,19.666015625
MEO,3836.78,56.69,38.98,3.95,0.41,5,4.31,30.03,63.62,31.69,512.0,90.29,58.77,1.9,4.38,34.74,4.51,30.69,HIGH,26.96,6.189453125
GEO,35786.0,1.55,77.85,2.18,0.67,3,2.47,42.64,298.63,65.21,512.0,47.98,44.45,2.55,3.02,82.5,3.01,54.33,LOW,90.69,12.736328124999998
LEO,795.0,56.75,32.07,1.63,0.73,1,1.04,44.52,70.53,298.68,512.0,62.4,50.53,4.02,1.1,24.49,1.34,16.57,HIGH,18.57,58.3359375
MEO,2699.16,52.82,62.13,2.07,1.78,5,2.74,25.67,368.32,406.11,512.0,82.69,73.24,4.76,3.24,56.68,3.0,0.0,HIGH,31.32,79.318359375
GEO,35786.0,3.16,73.44,1.22,1.7,1,0.82,20.32,312.95,223.45,512.0,49.81,26.48,5.32,0.99,72.35,1.33,42.18,MEDIUM,47.09,43.642578125
GEO,35786.0,2.78,54.0,2.98,0.8,3,1.66,27.77,100.89,127.97,512.0,87.37,41.69,2.12,2.49,55.78,2.23,59.09,HIGH,21.69,24.994140625
GEO,35786.0,1.68,79.28,2.96,0.56,2,1.2,37.86,123.17,24.36,512.0,30.91,58.67,9.57,1.64,74.13,1.51,20.85,HIGH,37.75,4.7578125
GEO,35786.0,0.73,87.73,3.55,1.55,3,2.98,48.82,217.07,464.27,512.0,18.78,54.85,9.89,3.16,80.33,3.34,0.0,HIGH,43.82,90.677734375
MEO,4526.56,46.59,92.9,1.12,0.01,3,3.42,54.44,438.34,235.54,512.0,89.41,37.01,6.9,3.72,88.35,3.87,0.0,HIGH,17.49,46.00390625
SSO,581.48,98.56,84.09,3.63,0.58,3,1.85,7.53,221.45,135.05,512.0,86.37,54.94,5.33,1.77,84.49,2.06,56.47,HIGH,13.25,26.376953125000004
LEO,580.38,81.97,70.9,1.33,1.35,4,3.91,40.67,72.24,267.2,512.0,92.06,68.51,6.05,4.34,71.93,4.5,0.0,HIGH,30.93,52.1875
SSO,744.16,98.01,54.88,2.81,1.65,5,2.06,58.54,126.0,455.48,512.0,57.04,34.54,5.07,2.77,51.42,2.39,9.86,HIGH,29.37,88.9609375
MEO,6507.35,53.12,72.54,1.26,0.63,1,0.5,23.24,179.23,107.21,512.0,26.29,63.9,4.38,0.75,73.35,0.9,62.21,MEDIUM,71.34,20.939453125
SSO,650.18,98.92,67.65,1.55,0.39,1,1.04,44.38,173.3,114.85,512.0,64.59,20.55,3.85,1.45,69.07,1.43,50.45,LOW,86.56,22.431640625
GEO,35786.0,1.85,45.86,2.84,0.61,1,0.45,28.08,417.79,406.98,512.0,36.78,50.3,6.45,0.6,42.12,0.83,45.17,MEDIUM,54.4,79.48828125
LEO,406.69,42.26,44.56,2.14,0.62,3,2.95,6.85,444.24,281.15,512.0,83.37,36.33,7.13,3.64,47.24,3.29,0.0,HIGH,19.72,54.91210937499999
LEO,668.15,91.64,55.86,2.93,1.8,2,1.99,53.16,387.38,435.87,512.0,72.59,68.85,1.41,2.65,58.06,2.47,68.34,HIGH,43.52,85.130859375
MEO,3239.2,53.51,47.41,4.27,1.6,3,2.92,45.09,313.62,323.96,512.0,48.14,27.5,4.22,3.51,43.56,3.42,4.91,HIGH,35.39,63.27343749999999
GEO,35786.0,3.38,56.8,2.56,0.17,5,2.78,20.21,359.31,53.88,512.0,50.85,36.78,8.31,3.12,56.18,3.28,0.0,HIGH,12.81,10.5234375
LEO,689.23,57.79,80.16,2.37,0.4,2,1.53,59.83,62.49,338.7,512.0,36.69,55.87,3.76,1.59,82.39,1.96,60.75,MEDIUM,70.95,66.15234375
MEO,2127.21,50.45,55.06,3.92,1.09,2,1.22,26.99,217.35,264.46,512.0,15.18,32.03,1.1,1.23,55.69,1.43,91.77,LOW,79.32,51.65234374999999
GEO,35786.0,3.42,40.02,4.31,1.21,3,3.0,58.75,277.11,194.28,512.0,94.17,41.48,7.69,3.17,36.32,3.39,0.0,HIGH,26.82,37.9453125
MEO,18191.58,52.73,44.88,1.04,1.71,2,1.45,19.33,312.61,448.78,512.0,49.37,46.87,1.97,2.02,37.44,2.04,31.34,MEDIUM,48.51,87.65234375
SSO,675.93,98.21,96.26,1.65,1.64,3,2.39,12.2,293.39,471.11,512.0,35.69,22.6,2.61,2.78,99.07,2.95,65.95,LOW,84.38,92.013671875
MEO,12222.08,54.61,44.31,2.79,0.78,1,0.53,29.03,155.06,156.84,512.0,25.4,20.61,2.99,1.1,43.87,0.97,58.93,LOW,77.74,30.6328125
