orbit_type,orbit_altitude_km,inclination_deg,current_battery_percent,solar_exposure_hours,eclipse_duration_hours,payload_count,payload_power_kw,communication_duration_minutes,communication_bandwidth_mbps,onboard_memory_used_gb,onboard_memory_total_gb,cpu_utilization_percent,temperature_celsius,mission_duration_hours,previous_power_consumption_kw,previous_battery_percent,power_consumption_kw,remaining_battery_percent,mission_risk,health_score
SSO,506.8,97.37,43.69,1.34,0.75,1,0.71,47.78,279.04,415.24,512.0,60.04,34.33,8.8,0.95,41.62,1.26,0.0,HIGH,39.06
MEO,14971.67,59.81,96.04,1.02,1.39,1,0.88,36.51,172.57,441.98,512.0,68.08,22.54,9.19,0.92,90.69,1.3,30.54,MEDIUM,72.47
MEO,8721.03,51.71,88.97,1.59,0.75,1,1.04,44.0,385.57,222.74,512.0,39.28,57.2,3.63,1.6,82.43,1.36,75.89,MEDIUM,51.92
MEO,19016.25,51.78,43.6,1.99,0.18,5,2.42,24.9,400.3,265.23,512.0,73.18,64.07,4.22,3.1,48.59,2.82,0.0,HIGH,35.13
LEO,787.74,37.1,54.76,2.08,0.7,2,1.56,12.56,80.64,380.87,512.0,14.9,75.8,8.89,1.64,52.98,1.92,0.0,HIGH,38.34
MEO,10797.35,55.28,59.55,3.53,0.37,5,4.11,38.18,243.61,226.87,512.0,39.35,38.99,3.24,4.38,59.53,4.38,9.68,HIGH,16.49
GEO,35786.0,0.3,93.45,2.85,0.65,4,4.54,42.67,51.0,166.27,512.0,92.7,60.25,7.16,5.24,93.56,4.86,0.0,HIGH,41.73
GEO,35786.0,0.99,50.39,1.66,1.69,1,0.42,9.1,68.18,83.58,512.0,41.52,61.3,7.52,1.27,53.89,1.0,21.6,HIGH,35.16
GEO,35786.0,4.35,73.66,2.61,0.26,1,0.65,23.95,334.26,448.11,512.0,71.95,67.69,9.62,0.7,74.56,1.08,37.39,HIGH,31.54
SSO,544.55,98.93,72.08,2.75,0.57,3,3.25,18.37,174.55,192.24,512.0,22.97,22.54,1.17,4.09,64.56,3.8,76.19,LOW,92.52
MEO,16227.02,51.22,46.08,3.76,1.14,2,1.62,35.46,199.45,14.57,512.0,40.87,46.41,2.07,1.98,50.61,2.08,63.28,LOW,87.39
SSO,517.27,97.43,66.89,4.1,1.67,3,3.37,37.23,370.29,71.41,512.0,32.82,53.49,4.84,3.3,60.28,3.67,0.73,HIGH,35.22
GEO,35786.0,4.55,45.1,0.81,0.71,5,3.75,56.48,152.57,213.74,512.0,52.07,35.51,3.18,3.8,39.68,3.96,0.0,HIGH,13.68
LEO,310.21,63.03,77.29,2.64,1.24,3,2.01,17.87,121.0,104.53,512.0,79.2,64.28,1.16,2.76,77.51,2.55,89.72,MEDIUM,57.67
GEO,35786.0,0.14,32.64,1.66,0.6,3,2.68,43.66,234.62,184.54,512.0,58.44,45.44,7.73,2.9,31.97,3.06,0.0,HIGH,30.69
GEO,35786.0,0.2,46.41,3.08,0.6,4,4.57,31.63,408.6,281.69,512.0,14.59,20.41,8.56,5.4,48.85,5.03,0.0,HIGH,42.24
GEO,35786.0,1.58,35.72,1.92,1.79,3,1.61,55.15,361.06,247.76,512.0,22.11,47.52,2.87,2.44,37.73,2.14,18.82,HIGH,41.33
LEO,772.1,44.26,77.48,2.5,0.21,1,1.04,23.92,134.37,143.63,512.0,51.73,27.53,5.56,1.25,77.15,1.54,52.0,LOW,85.52
LEO,690.08,86.53,61.84,3.2,1.12,3,1.84,49.04,91.72,159.75,512.0,42.87,62.08,1.48,2.58,65.45,2.41,76.97,MEDIUM,65.83
MEO,2604.74,54.36,98.65,0.97,0.5,1,0.88,25.96,433.31,201.24,512.0,18.87,39.69,4.93,1.49,95.25,1.13,74.2,LOW,97.01
MEO,8835.07,57.04,45.27,2.66,1.65,1,0.75,18.89,406.35,341.65,512.0,93.97,65.86,6.63,1.12,48.49,1.28,21.94,HIGH,41.79
LEO,912.6,46.22,62.21,3.16,0.7,3,2.02,52.11,99.73,203.46,512.0,80.31,21.03,4.86,2.29,59.47,2.25,29.07,MEDIUM,55.49
LEO,380.28,53.46,95.17,1.06,0.39,5,5.4,24.34,428.21,25.3,512.0,84.44,58.12,8.27,6.1,88.79,5.78,0.0,HIGH,33.38
GEO,35786.0,3.92,65.06,3.2,1.42,1,0.5,38.5,151.13,414.72,512.0,80.7,57.79,8.8,1.03,65.65,0.95,49.34,MEDIUM,63.14
LEO,563.02,90.46,71.87,2.44,0.76,1,1.04,6.91,405.29,471.47,512.0,42.53,73.67,1.17,1.01,67.76,1.27,91.46,HIGH,44.47
LEO,502.02,57.53,42.47,2.99,0.38,1,0.68,29.21,376.73,236.41,512.0,23.66,78.2,1.51,1.47,42.83,1.25,66.13,HIGH,41.07
LEO,822.65,83.51,69.74,4.46,1.15,1,0.92,52.64,92.88,263.28,512.0,61.2,63.59,5.98,1.38,70.46,1.4,69.03,MEDIUM,51.99
SSO,566.93,98.3,64.82,2.1,1.65,2,2.39,11.91,399.77,406.31,512.0,57.1,36.19,3.78,3.2,58.51,2.94,17.86,HIGH,33.72
MEO,8141.47,52.83,90.69,4.0,1.07,4,4.43,52.3,51.22,478.17,512.0,92.74,71.85,5.85,5.14,92.92,4.8,0.0,HIGH,28.11
SSO,779.58,98.51,83.31,3.08,0.22,2,1.1,48.21,147.55,319.8,512.0,57.77,77.46,4.55,1.63,84.66,1.52,75.29,HIGH,29.34
MEO,6682.83,48.81,68.98,2.88,1.7,4,2.08,11.34,441.98,181.45,512.0,91.99,62.86,4.0,2.46,69.48,2.49,39.02,HIGH,18.92
LEO,659.89,43.5,49.46,4.45,1.08,5,3.44,55.04,187.49,373.56,512.0,32.18,72.56,8.21,3.86,42.76,3.65,0.0,HIGH,37.07
SSO,599.52,98.72,80.53,2.82,1.63,1,1.16,40.97,177.72,165.25,512.0,37.76,35.03,9.15,1.9,78.17,1.73,11.59,HIGH,38.23
LEO,760.05,57.07,75.13,2.49,1.69,4,2.55,33.1,82.55,62.98,512.0,83.25,33.34,8.66,2.78,67.67,2.8,0.0,HIGH,11.26
SSO,562.27,98.22,40.98,1.78,1.39,3,2.75,49.18,398.48,447.8,512.0,62.44,20.47,8.1,3.43,38.75,3.16,0.0,HIGH,23.94
LEO,608.21,37.22,93.14,2.7,1.44,1,0.69,26.33,156.44,170.91,512.0,51.76,56.32,4.35,0.89,85.22,0.97,98.04,MEDIUM,55.35
GEO,35786.0,4.52,99.12,3.37,0.64,4,1.92,53.01,359.11,43.68,512.0,60.77,34.22,9.52,2.07,95.49,2.45,0.0,HIGH,17.84
LEO,697.73,83.94,80.74,4.36,0.81,2,1.32,36.74,306.16,215.01,512.0,76.81,71.96,8.13,1.41,82.43,1.67,44.98,HIGH,14.71
MEO,11162.0,56.47,66.73,3.06,1.07,2,2.08,27.81,163.9,431.79,512.0,50.77,42.0,7.73,2.42,62.91,2.36,0.0,HIGH,43.06
MEO,7752.7,46.66,56.31,2.95,1.74,2,0.92,13.79,326.64,181.57,512.0,84.17,37.89,6.12,1.88,52.22,1.5,32.17,MEDIUM,72.4
MEO,5312.34,47.48,94.8,1.06,1.42,3,1.51,30.68,343.24,407.8,512.0,24.24,68.35,8.91,2.08,89.46,2.05,0.0,HIGH,10.49
SSO,518.44,98.43,61.0,3.67,0.94,2,1.56,51.63,80.66,465.06,512.0,53.32,33.51,4.83,1.73,65.91,1.81,48.33,LOW,77.3
GEO,35786.0,2.93,81.15,4.49,1.59,1,0.61,49.45,223.76,219.09,512.0,22.6,42.68,9.93,0.65,73.82,1.05,67.21,LOW,92.58
LEO,358.49,81.32,31.65,0.52,1.22,1,0.57,8.28,97.98,114.62,512.0,34.86,71.64,9.27,1.25,34.89,0.96,0.0,HIGH,29.98
LEO,911.53,90.26,54.91,3.55,1.44,4,3.23,39.07,96.95,88.12,512.0,68.02,29.21,2.17,3.69,55.26,3.74,44.7,MEDIUM,73.36
SSO,592.63,98.17,77.09,1.11,1.25,5,2.53,19.93,128.91,223.9,512.0,77.16,46.45,4.03,2.84,70.56,2.81,16.84,HIGH,43.39
LEO,934.33,56.94,44.8,2.12,0.99,5,5.3,54.64,60.1,443.77,512.0,82.91,37.06,8.31,6.01,49.11,5.89,0.0,HIGH,43.2
LEO,688.45,39.48,39.72,1.23,1.49,1,1.16,20.59,273.85,327.29,512.0,21.15,31.64,8.53,1.35,38.19,1.71,0.0,HIGH,29.95
LEO,911.24,93.5,52.25,1.56,0.45,3,2.55,49.82,219.62,85.21,512.0,21.71,67.02,5.14,3.17,48.2,2.98,0.0,HIGH,36.39
GEO,35786.0,2.64,54.84,4.34,1.27,4,2.33,23.71,257.09,43.86,512.0,39.41,64.24,7.7,2.6,56.17,2.7,0.0,HIGH,40.78
SSO,556.14,98.12,74.32,2.05,0.48,4,4.29,55.07,92.72,285.52,512.0,12.82,28.5,9.43,4.29,76.13,4.6,0.0,HIGH,29.0
MEO,9319.38,53.6,74.36,3.23,1.59,4,1.89,28.33,131.62,127.97,512.0,68.9,31.95,3.21,2.29,67.37,2.25,66.13,LOW,81.04
LEO,378.22,96.68,72.15,4.46,1.21,4,4.04,9.06,223.57,375.91,512.0,65.07,21.62,5.18,4.3,76.38,4.56,0.0,HIGH,11.71
MEO,2868.01,51.51,83.87,1.33,1.46,3,3.48,25.87,70.51,271.2,512.0,10.57,23.78,7.0,3.94,78.05,3.79,0.0,HIGH,18.14
LEO,483.45,90.8,71.44,2.97,0.15,2,2.39,36.86,269.16,26.08,512.0,20.51,72.64,8.9,2.56,74.25,2.64,0.0,HIGH,31.68
MEO,5728.85,52.02,72.06,3.42,0.95,3,3.57,58.64,238.77,102.57,512.0,79.33,50.76,2.13,4.48,72.41,4.11,56.34,MEDIUM,57.7
GEO,35786.0,4.85,47.33,2.98,0.5,3,3.04,26.13,441.16,470.24,512.0,46.09,72.49,3.49,3.46,47.74,3.31,7.93,HIGH,23.12
MEO,12414.61,52.97,92.28,2.19,1.24,2,0.94,14.39,105.55,473.37,512.0,83.52,23.69,5.51,1.29,92.71,1.47,65.9,MEDIUM,74.29
GEO,35786.0,1.08,60.92,1.43,0.33,5,4.31,46.13,406.39,133.84,512.0,82.03,60.68,6.56,4.58,62.46,4.72,0.0,HIGH,41.94
MEO,4456.12,49.07,54.29,1.8,1.55,1,0.63,56.57,261.39,285.58,512.0,43.74,72.06,5.15,1.41,57.87,1.17,36.69,HIGH,34.82
MEO,6329.36,50.33,62.39,1.52,0.84,3,1.71,54.74,266.31,203.59,512.0,54.89,67.94,3.92,1.91,61.55,2.16,25.61,HIGH,15.63
LEO,858.4,95.49,56.42,1.6,0.17,1,0.81,53.4,394.89,141.02,512.0,76.24,26.21,7.6,1.49,52.58,1.3,11.16,HIGH,44.47
GEO,35786.0,0.05,88.48,3.85,0.77,5,5.61,52.42,413.09,244.84,512.0,74.89,24.88,6.68,6.01,88.62,6.21,0.0,HIGH,40.69
GEO,35786.0,1.85,45.86,2.84,0.61,1,0.45,28.08,417.79,406.98,512.0,36.78,50.3,6.45,0.6,42.12,0.83,45.17,MEDIUM,54.4
SSO,548.19,97.89,48.97,2.47,0.47,4,4.69,16.52,91.77,242.41,512.0,81.65,47.84,5.65,4.73,52.35,5.12,0.0,HIGH,39.26
MEO,6859.36,46.36,58.73,2.22,1.03,3,1.88,44.71,427.06,24.98,512.0,72.61,56.55,3.88,2.01,53.61,2.26,28.33,MEDIUM,63.94
SSO,646.98,98.01,95.64,3.85,0.85,3,2.43,57.53,264.76,314.64,512.0,54.08,55.9,9.05,2.36,89.98,2.64,0.0,HIGH,17.07
MEO,18745.85,57.8,86.14,1.9,1.73,4,2.59,35.65,201.17,426.61,512.0,87.03,33.56,5.33,2.99,79.19,2.88,9.09,HIGH,44.47
MEO,14206.17,52.94,46.52,2.94,1.05,4,3.13,56.62,173.74,390.62,512.0,32.87,62.52,2.68,2.98,50.11,3.36,23.24,HIGH,36.49
GEO,35786.0,2.6,34.06,3.55,0.24,2,0.99,54.02,332.48,226.18,512.0,76.02,58.0,1.02,1.2,31.45,1.49,66.71,MEDIUM,73.68
MEO,19163.64,46.06,49.26,2.68,0.3,3,2.22,45.36,369.1,411.91,512.0,12.32,78.18,1.58,2.28,54.0,2.55,55.2,HIGH,37.43
MEO,4759.72,49.84,52.38,3.27,1.35,4,2.18,10.72,320.44,187.9,512.0,65.64,33.48,1.47,2.68,46.91,2.59,66.82,LOW,78.6
GEO,35786.0,2.62,76.37,2.98,0.0,5,4.15,15.66,390.8,218.53,512.0,31.6,37.01,4.12,4.56,74.54,4.41,0.0,HIGH,24.88
GEO,35786.0,4.78,40.67,3.01,1.6,3,1.64,49.82,371.14,102.73,512.0,70.85,34.65,2.33,2.23,38.18,1.91,47.85,MEDIUM,48.23
SSO,511.11,97.07,59.14,2.12,1.08,1,1.1,59.61,225.3,250.7,512.0,33.59,33.43,4.07,1.7,55.31,1.65,40.93,MEDIUM,65.73
SSO,642.98,97.79,93.44,4.25,1.17,4,3.74,58.73,239.87,96.14,512.0,10.6,53.72,5.5,4.08,88.82,4.2,0.0,HIGH,17.67
LEO,695.26,89.64,44.04,3.47,1.07,2,1.31,43.83,199.48,106.78,512.0,45.22,47.45,7.55,1.38,36.65,1.63,5.82,HIGH,39.5
LEO,982.48,33.9,52.57,2.87,0.53,3,1.76,30.71,305.01,381.21,512.0,25.89,31.58,6.22,2.58,48.37,2.22,0.0,HIGH,18.4
LEO,930.82,81.33,68.5,1.08,1.25,2,1.58,13.6,59.85,17.49,512.0,57.73,56.59,4.66,2.44,66.73,2.08,18.46,HIGH,19.85
MEO,16259.4,46.73,85.33,1.46,0.39,2,1.89,51.39,129.38,269.23,512.0,78.78,78.0,5.53,2.15,86.05,2.11,27.1,HIGH,15.4
LEO,833.18,31.19,38.81,0.61,1.47,3,1.76,15.29,69.91,331.31,512.0,52.52,65.04,8.34,2.38,38.85,2.34,0.0,HIGH,14.09
LEO,449.32,60.58,67.82,0.63,0.15,5,5.08,20.23,152.04,209.99,512.0,60.62,79.03,9.96,5.35,64.89,5.46,0.0,HIGH,11.04
LEO,640.61,88.75,87.3,1.82,1.5,5,2.42,51.44,418.23,193.15,512.0,87.62,47.19,3.23,2.59,88.29,2.72,51.87,HIGH,17.25
SSO,701.4,98.02,78.41,0.63,0.43,1,0.92,52.66,324.94,85.13,512.0,47.27,31.14,6.08,1.26,76.86,1.13,41.43,MEDIUM,54.87
GEO,35786.0,1.08,43.72,3.87,1.25,5,2.36,46.71,278.64,299.94,512.0,94.11,43.75,4.58,2.67,36.16,2.7,9.91,HIGH,37.83
GEO,35786.0,2.5,65.52,0.77,1.27,3,1.6,52.33,152.51,207.65,512.0,87.4,58.68,4.75,1.82,66.14,2.17,7.81,HIGH,22.94
GEO,35786.0,0.92,54.69,4.5,0.38,4,3.95,36.56,160.45,300.86,512.0,39.17,37.01,5.88,4.34,53.38,4.32,0.0,HIGH,30.77
MEO,11946.59,45.43,89.17,2.98,1.32,3,2.46,12.22,296.8,458.89,512.0,15.47,21.79,3.46,2.72,89.77,2.79,62.14,LOW,78.58
LEO,471.1,69.15,44.19,2.99,0.63,4,2.43,15.81,337.77,41.82,512.0,42.31,21.66,7.89,3.19,48.81,2.94,0.0,HIGH,37.25
MEO,10972.23,58.02,63.09,1.2,0.04,4,4.4,28.4,139.52,65.0,512.0,88.22,22.17,4.69,4.47,66.23,4.73,0.0,HIGH,34.46
MEO,14188.6,49.02,52.01,1.27,0.81,3,1.35,8.93,219.52,89.37,512.0,88.35,75.73,8.71,1.52,46.99,1.84,0.0,HIGH,33.23
SSO,612.04,97.43,49.98,0.52,0.17,4,3.64,25.52,58.7,62.61,512.0,26.78,75.49,6.45,4.0,46.23,4.2,0.0,HIGH,11.6
GEO,35786.0,4.47,37.71,3.87,1.75,4,2.51,32.55,231.91,432.15,512.0,44.74,74.73,9.32,3.29,32.17,3.04,0.0,HIGH,31.41
GEO,35786.0,3.34,49.7,0.63,1.58,4,3.57,56.46,154.82,175.35,512.0,88.29,33.29,7.47,3.71,51.34,3.9,0.0,HIGH,13.53
LEO,366.94,36.44,34.62,1.18,1.6,2,0.83,9.68,335.83,74.45,512.0,90.02,49.78,5.0,1.23,27.6,1.26,7.63,HIGH,39.27
LEO,964.49,50.0,78.34,4.45,1.1,3,2.85,31.79,442.43,304.03,512.0,57.41,72.99,7.19,3.33,80.35,3.39,0.0,HIGH,23.65
MEO,11963.1,58.79,50.97,3.92,1.39,5,5.43,32.77,311.44,155.37,512.0,59.89,52.0,7.04,6.21,50.65,5.93,0.0,HIGH,31.92
LEO,362.15,32.23,50.17,2.05,1.3,3,2.39,54.3,163.95,212.7,512.0,38.64,35.83,4.03,2.9,46.51,2.79,1.74,HIGH,33.75
LEO,700.8,50.48,65.18,3.85,1.26,2,2.23,26.12,358.73,61.45,512.0,50.63,42.99,7.23,2.98,60.56,2.81,0.0,HIGH,36.59
LEO,964.73,91.38,68.19,0.83,0.79,1,0.79,31.39,406.98,307.18,512.0,57.37,58.12,1.34,0.94,66.64,1.3,66.88,MEDIUM,67.65
SSO,763.09,97.77,50.26,1.59,0.25,5,2.46,26.93,117.26,374.44,512.0,28.42,45.96,3.79,2.74,53.38,2.76,1.41,HIGH,37.23
LEO,767.45,32.28,46.73,3.59,0.22,5,3.74,16.92,160.64,243.2,512.0,55.45,52.81,6.38,4.37,48.46,4.29,0.0,HIGH,44.18
SSO,632.99,98.95,86.48,2.66,0.18,4,2.66,45.86,67.03,429.06,512.0,21.88,33.62,9.83,3.22,82.27,2.88,0.0,HIGH,26.81
GEO,35786.0,4.19,67.08,3.18,0.72,2,2.22,27.06,348.88,37.25,512.0,80.79,46.89,2.4,2.56,60.84,2.52,65.94,MEDIUM,68.26
SSO,716.74,98.61,80.32,2.47,0.83,3,3.47,14.23,363.28,184.86,512.0,62.82,32.17,5.49,3.87,82.3,3.7,0.0,HIGH,41.93
GEO,35786.0,2.95,40.2,3.8,1.49,2,2.28,15.65,118.49,363.91,512.0,47.37,61.64,9.68,2.4,42.31,2.6,0.0,HIGH,11.97
LEO,598.33,55.22,45.99,2.07,1.43,3,3.15,27.74,316.15,186.11,512.0,24.96,25.78,6.95,3.47,38.39,3.56,0.0,HIGH,14.7
GEO,35786.0,4.27,36.75,4.49,0.46,3,1.72,57.14,80.94,313.01,512.0,36.14,66.73,3.28,2.24,36.98,1.94,49.14,HIGH,29.45
MEO,9612.8,50.47,90.38,1.86,0.42,3,1.96,16.98,162.05,127.09,512.0,84.86,23.74,2.2,2.36,83.52,2.52,76.7,MEDIUM,62.54
SSO,554.81,98.79,54.9,1.37,0.85,5,4.35,25.09,436.11,68.61,512.0,90.13,41.95,6.62,5.26,53.39,4.93,0.0,HIGH,11.25
SSO,778.15,97.11,72.4,1.01,0.14,1,0.73,26.38,417.89,303.6,512.0,76.95,46.58,6.48,1.59,66.58,1.3,29.86,MEDIUM,72.21
GEO,35786.0,4.12,74.79,3.49,1.19,2,0.95,15.35,355.7,180.89,512.0,16.88,68.23,2.24,1.26,72.1,1.2,99.25,HIGH,25.18
MEO,3433.22,58.49,71.59,1.22,1.08,5,3.35,56.27,191.7,280.1,512.0,63.75,38.5,7.72,3.56,74.86,3.67,0.0,HIGH,26.99
GEO,35786.0,1.8,32.5,2.67,1.65,5,5.27,50.66,90.09,436.43,512.0,81.48,39.65,2.13,5.6,27.68,5.82,0.0,HIGH,32.15
SSO,647.49,98.63,67.76,1.57,1.58,5,5.77,27.63,249.9,302.93,512.0,27.31,72.83,6.59,6.57,70.49,6.37,0.0,HIGH,21.72
LEO,877.11,69.04,80.2,0.61,0.98,3,1.22,12.01,403.52,124.9,512.0,76.39,44.59,1.04,1.61,84.39,1.7,75.98,MEDIUM,71.98
GEO,35786.0,2.63,37.48,0.88,0.13,1,1.07,15.83,406.59,251.84,512.0,83.76,69.98,2.73,1.76,38.78,1.62,19.29,HIGH,37.24
GEO,35786.0,3.57,93.21,1.43,0.81,4,2.42,48.83,126.04,134.47,512.0,60.46,60.18,6.03,3.18,88.14,2.88,0.0,HIGH,22.41
MEO,6046.26,50.85,95.05,2.6,0.71,3,2.17,57.01,127.35,393.39,512.0,74.85,46.9,7.06,2.75,91.34,2.77,0.0,HIGH,31.78
SSO,730.77,97.59,47.18,1.67,0.56,5,2.46,12.98,218.6,297.33,512.0,71.55,44.08,9.69,3.07,50.99,2.99,0.0,HIGH,30.75
GEO,35786.0,0.39,86.97,1.58,0.92,5,2.68,7.14,360.8,155.96,512.0,49.7,57.08,7.96,3.2,84.53,3.0,0.0,HIGH,42.37
GEO,35786.0,0.4,82.89,3.92,0.53,2,2.25,44.74,241.51,397.17,512.0,53.31,78.95,3.7,2.66,81.29,2.67,65.59,HIGH,42.33
GEO,35786.0,3.82,50.5,0.61,1.06,3,2.45,34.34,325.74,238.53,512.0,38.62,74.21,8.73,3.3,50.05,3.01,0.0,HIGH,29.72
LEO,584.74,39.37,96.21,1.1,1.5,2,1.73,51.94,244.74,131.78,512.0,44.16,60.86,7.46,2.4,100.0,2.18,3.75,HIGH,35.21
GEO,35786.0,4.75,45.57,1.45,1.27,5,3.01,39.26,231.73,335.12,512.0,15.96,48.27,3.78,3.41,48.89,3.29,0.0,HIGH,32.3
GEO,35786.0,1.44,82.65,3.49,1.72,3,2.46,9.81,97.91,290.13,512.0,72.2,65.74,7.91,3.0,82.09,2.9,0.0,HIGH,31.17
SSO,606.46,97.82,92.42,1.35,0.93,5,4.4,7.89,225.72,355.12,512.0,27.8,76.62,4.84,5.24,86.81,4.98,0.0,HIGH,24.61
LEO,946.12,57.97,42.45,3.38,0.65,1,0.7,13.68,304.47,88.98,512.0,68.99,69.74,4.32,0.93,45.54,1.02,54.32,HIGH,13.31
MEO,15288.98,50.43,68.15,2.79,0.88,1,1.14,33.38,385.98,249.31,512.0,41.07,55.48,5.58,1.39,68.56,1.69,40.28,MEDIUM,65.34
SSO,615.49,98.14,81.47,0.83,0.88,4,3.93,54.11,178.91,75.84,512.0,31.19,22.47,3.64,3.82,86.14,4.22,0.0,HIGH,12.4
MEO,4720.58,54.69,89.66,1.42,0.22,1,0.4,27.53,119.81,284.43,512.0,37.86,68.98,3.7,0.71,93.94,0.87,85.77,HIGH,36.29
GEO,35786.0,2.52,97.8,0.54,1.38,3,2.8,10.58,148.73,240.73,512.0,62.41,63.34,2.73,2.84,90.03,3.02,50.72,MEDIUM,60.0
SSO,693.1,98.59,83.11,0.51,0.56,1,0.54,18.33,334.55,40.57,512.0,45.08,70.41,1.57,0.88,81.07,0.88,80.28,HIGH,22.57
GEO,35786.0,1.77,79.69,2.98,0.41,1,0.44,26.45,192.2,111.74,512.0,60.32,60.12,4.41,1.22,76.94,0.92,88.98,MEDIUM,70.36
GEO,35786.0,1.34,60.62,0.66,0.63,1,0.63,29.81,435.92,68.19,512.0,30.66,40.32,8.3,0.73,54.16,1.12,8.35,HIGH,14.79
GEO,35786.0,1.04,62.63,3.63,1.01,4,1.75,54.77,266.62,401.99,512.0,92.82,60.47,3.26,2.65,57.17,2.32,57.1,HIGH,33.35
GEO,35786.0,1.81,88.52,1.8,0.44,4,4.22,51.77,51.82,326.26,512.0,16.7,69.57,9.4,4.7,85.36,4.44,0.0,HIGH,37.17
MEO,8233.71,55.76,87.98,1.2,1.63,3,2.95,38.39,121.74,135.89,512.0,63.13,68.29,7.17,3.8,82.38,3.48,0.0,HIGH,16.68
MEO,9602.74,56.83,69.75,2.6,1.39,2,1.16,7.1,318.49,120.9,512.0,92.01,22.17,7.72,2.0,61.93,1.64,18.77,HIGH,28.96
GEO,35786.0,1.72,66.43,3.92,1.21,3,3.59,48.99,90.15,412.57,512.0,89.58,52.52,6.53,4.2,69.71,3.88,0.0,HIGH,28.45
LEO,461.5,85.65,94.38,3.1,0.5,1,0.78,52.68,297.35,122.01,512.0,55.63,65.12,2.6,0.79,97.38,1.18,100.0,HIGH,16.24
SSO,503.66,97.26,38.04,1.57,0.47,1,0.55,19.58,381.88,418.75,512.0,80.52,38.53,2.72,1.17,33.53,0.79,42.94,MEDIUM,55.64
SSO,715.75,97.04,70.65,3.17,1.39,3,3.28,50.23,186.92,366.3,512.0,26.15,44.34,2.64,3.93,72.83,3.72,44.77,MEDIUM,71.11
LEO,373.26,52.26,84.31,3.89,0.25,2,0.83,29.31,242.49,164.77,512.0,45.05,47.82,3.66,1.45,80.57,1.27,100.0,LOW,98.83
MEO,10356.87,58.82,63.26,1.26,0.95,5,5.04,38.23,72.26,192.34,512.0,35.94,53.84,7.27,5.48,61.64,5.64,0.0,HIGH,36.92
