payload_id,satellite_id,mission_id,payload_type,operation_duration_minutes,power_consumed_kw,memory_generated_gb,temperature_celsius,operation_status
PAY-00038,SAT-0073,MIS-000038,Thermal Sensor,1016,2.7,167.4,40.2,Completed
PAY-00039,SAT-0084,MIS-000039,Communication Antenna,925,4.27,190.8,47.4,Completed
PAY-00040,SAT-0042,MIS-000040,SAR Radar,1193,6.0,112.8,33.5,Completed
PAY-00041,SAT-0057,MIS-000041,Communication Antenna,1030,2.75,169.2,43.9,Completed
PAY-00042,SAT-0061,MIS-000042,Thermal Sensor,1329,5.15,259.2,63.7,Completed
PAY-00043,SAT-0085,MIS-000043,Camera,516,5.16,331.0,49.1,Completed
PAY-00044,SAT-0049,MIS-000044,Camera,1390,1.6,250.0,41.8,Completed
PAY-00045,SAT-0089,MIS-000045,SAR Radar,1241,6.0,221.4,47.6,Completed
PAY-00046,SAT-0098,MIS-000046,Communication Antenna,94,6.66,238.8,59.0,Completed
PAY-00047,SAT-0019,MIS-000047,Thermal Sensor,970,7.07,300.0,60.0,Completed
PAY-00048,SAT-0014,MIS-000048,SAR Radar,1429,6.0,206.4,44.3,Completed
PAY-00049,SAT-0025,MIS-000049,Thermal Sensor,990,1.73,129.0,33.3,Completed
PAY-00050,SAT-0070,MIS-000050,Communication Antenna,392,7.54,268.2,57.2,Completed
PAY-00051,SAT-0069,MIS-000051,Camera,399,4.12,266.0,48.1,Completed
PAY-00052,SAT-0039,MIS-000052,Camera,1434,0.5,209.0,35.9,Completed
PAY-00053,SAT-0036,MIS-000053,Camera,1370,6.96,500.0,58.9,Completed
PAY-00054,SAT-0007,MIS-000054,SAR Radar,319,6.0,259.2,62.2,Completed
PAY-00055,SAT-0004,MIS-000055,Communication Antenna,52,2.25,93.0,26.3,Completed
PAY-00056,SAT-0083,MIS-000056,Multispectral Sensor,631,0.5,54.6,18.9,Completed
PAY-00057,SAT-0065,MIS-000057,Thermal Sensor,948,7.15,300.0,61.2,Completed
PAY-00058,SAT-0061,MIS-000058,Camera,166,5.87,340.0,47.3,Completed
PAY-00059,SAT-0014,MIS-000059,Camera,523,4.77,333.0,52.5,Completed
PAY-00060,SAT-0045,MIS-000060,Communication Antenna,595,1.84,94.8,29.3,Completed
PAY-00061,SAT-0097,MIS-000061,Camera,627,4.84,337.0,49.4,Completed
PAY-00062,SAT-0027,MIS-000062,Camera,390,2.32,193.0,32.3,Completed
PAY-00063,SAT-0059,MIS-000063,Multispectral Sensor,600,5.92,239.4,59.8,Completed
PAY-00064,SAT-0052,MIS-000064,Camera,342,6.77,421.0,59.4,Completed
PAY-00065,SAT-0020,MIS-000065,Camera,684,5.16,346.0,57.3,Completed
PAY-00066,SAT-0076,MIS-000066,Multispectral Sensor,667,0.5,63.0,25.9,Completed
PAY-00067,SAT-0042,MIS-000067,Thermal Sensor,1173,6.94,300.0,62.2,Completed
PAY-00068,SAT-0007,MIS-000068,SAR Radar,574,6.0,133.2,34.8,Completed
PAY-00069,SAT-0049,MIS-000069,SAR Radar,1435,6.0,279.6,53.3,Completed
PAY-00070,SAT-0038,MIS-000070,Multispectral Sensor,1276,0.66,108.0,34.7,Completed
PAY-00071,SAT-0031,MIS-000071,SAR Radar,360,6.0,76.2,27.5,Completed
PAY-00072,SAT-0033,MIS-000072,Multispectral Sensor,1033,5.25,231.6,60.5,Completed
PAY-00073,SAT-0051,MIS-000073,Communication Antenna,69,0.84,21.6,21.8,Completed
PAY-00074,SAT-0028,MIS-000074,Communication Antenna,627,6.89,277.2,57.6,Completed
PAY-00075,SAT-0001,MIS-000075,Thermal Sensor,972,5.37,234.6,53.1,Completed
PAY-00076,SAT-0009,MIS-000076,SAR Radar,1117,6.0,288.0,64.8,Completed
PAY-00077,SAT-0059,MIS-000077,Thermal Sensor,1279,3.13,191.4,46.2,Completed
PAY-00078,SAT-0052,MIS-000078,Thermal Sensor,729,3.67,177.0,44.2,Completed
PAY-00079,SAT-0040,MIS-000079,Camera,655,3.34,274.0,41.1,Completed
PAY-00080,SAT-0057,MIS-000080,Multispectral Sensor,546,4.25,162.6,48.3,Completed
PAY-00081,SAT-0015,MIS-000081,Camera,1318,0.5,186.0,29.1,Completed
PAY-00082,SAT-0091,MIS-000082,Thermal Sensor,1230,6.21,285.0,64.9,Completed
PAY-00083,SAT-0071,MIS-000083,SAR Radar,591,6.0,241.8,51.1,Completed
PAY-00084,SAT-0024,MIS-000084,SAR Radar,760,6.0,152.4,37.6,Completed
PAY-00085,SAT-0065,MIS-000085,SAR Radar,958,6.0,260.4,55.7,Completed
PAY-00086,SAT-0004,MIS-000086,Thermal Sensor,1378,3.54,223.8,47.8,Completed
PAY-00087,SAT-0041,MIS-000087,SAR Radar,756,6.0,68.4,27.5,Completed
PAY-00088,SAT-0074,MIS-000088,Thermal Sensor,688,2.7,140.4,36.6,Completed
PAY-00089,SAT-0034,MIS-000089,SAR Radar,102,6.0,159.6,46.7,Completed
PAY-00090,SAT-0044,MIS-000090,SAR Radar,595,6.0,61.8,26.5,Completed
PAY-00091,SAT-0039,MIS-000091,Communication Antenna,1029,2.67,162.6,47.7,Completed
PAY-00092,SAT-0093,MIS-000092,SAR Radar,1047,6.0,300.0,57.2,Completed
PAY-00093,SAT-0095,MIS-000093,Communication Antenna,488,5.98,232.2,54.1,Completed
PAY-00094,SAT-0039,MIS-000094,Thermal Sensor,1024,6.2,266.4,62.5,Completed
PAY-00095,SAT-0037,MIS-000095,SAR Radar,1083,6.0,136.8,35.4,Completed
PAY-00096,SAT-0061,MIS-000096,Communication Antenna,1408,1.51,157.2,37.7,Completed
PAY-00097,SAT-0023,MIS-000097,Multispectral Sensor,1141,2.04,141.6,35.0,Completed
PAY-00098,SAT-0018,MIS-000098,Communication Antenna,1060,5.76,270.6,60.1,Completed
PAY-00099,SAT-0024,MIS-000099,Multispectral Sensor,570,4.05,168.6,42.2,Completed
PAY-00100,SAT-0091,MIS-000100,SAR Radar,896,6.0,127.8,36.4,Completed
PAY-00101,SAT-0011,MIS-000101,Camera,188,7.15,404.0,53.9,Completed
PAY-00102,SAT-0059,MIS-000102,Camera,817,6.31,416.0,56.5,Completed
PAY-00103,SAT-0053,MIS-000103,Communication Antenna,940,3.67,188.4,49.3,Completed
PAY-00104,SAT-0097,MIS-000104,SAR Radar,797,6.0,211.2,52.4,Completed
PAY-00105,SAT-0058,MIS-000105,SAR Radar,360,6.0,73.8,30.0,Completed
PAY-00106,SAT-0067,MIS-000106,Multispectral Sensor,1367,6.41,300.0,63.4,Completed
PAY-00107,SAT-0097,MIS-000107,Thermal Sensor,233,4.21,133.8,38.2,Completed
PAY-00108,SAT-0049,MIS-000108,Multispectral Sensor,858,6.06,255.0,61.0,Completed
PAY-00109,SAT-0051,MIS-000109,Camera,687,5.86,420.0,60.6,Completed
PAY-00110,SAT-0003,MIS-000110,Multispectral Sensor,618,1.3,106.2,33.1,Completed
PAY-00111,SAT-0093,MIS-000111,SAR Radar,768,6.0,295.8,63.1,Completed
PAY-00112,SAT-0082,MIS-000112,Communication Antenna,807,0.5,82.2,29.9,Completed
PAY-00113,SAT-0033,MIS-000113,Multispectral Sensor,1382,3.87,233.4,57.2,Completed
PAY-00114,SAT-0082,MIS-000114,Thermal Sensor,939,2.77,153.6,45.7,Completed
PAY-00115,SAT-0036,MIS-000115,Multispectral Sensor,858,7.42,298.2,65.3,Completed
PAY-00116,SAT-0089,MIS-000116,Communication Antenna,646,6.68,270.6,62.0,Completed
PAY-00117,SAT-0075,MIS-000117,Thermal Sensor,1035,0.5,92.4,25.9,Completed
PAY-00118,SAT-0024,MIS-000118,Communication Antenna,175,0.5,22.2,16.7,Completed
PAY-00119,SAT-0035,MIS-000119,Camera,642,3.6,289.0,45.6,Completed
PAY-00120,SAT-0049,MIS-000120,Communication Antenna,1403,1.4,169.2,37.3,Completed
PAY-00121,SAT-0051,MIS-000121,Multispectral Sensor,1436,1.78,162.0,44.5,Completed
PAY-00122,SAT-0085,MIS-000122,Camera,1426,3.88,400.0,56.1,Completed
PAY-00123,SAT-0079,MIS-000123,Multispectral Sensor,593,6.93,280.2,61.1,Completed
PAY-00124,SAT-0076,MIS-000124,Thermal Sensor,446,0.5,48.0,20.5,Completed
PAY-00125,SAT-0015,MIS-000125,Multispectral Sensor,1158,5.74,279.6,62.8,Completed
PAY-00126,SAT-0058,MIS-000126,Communication Antenna,422,6.31,220.2,53.7,Completed
PAY-00127,SAT-0079,MIS-000127,SAR Radar,900,6.0,297.0,58.2,Completed
PAY-00128,SAT-0074,MIS-000128,Multispectral Sensor,1008,6.43,279.0,60.4,Completed
PAY-00129,SAT-0065,MIS-000129,Communication Antenna,1214,3.47,211.8,48.6,Completed
PAY-00130,SAT-0100,MIS-000130,Multispectral Sensor,1044,4.62,246.6,59.2,Completed
PAY-00131,SAT-0031,MIS-000131,Thermal Sensor,1243,5.03,256.8,55.4,Completed
PAY-00132,SAT-0035,MIS-000132,Communication Antenna,1325,3.07,196.2,43.5,Completed
PAY-00133,SAT-0010,MIS-000133,Camera,1350,2.65,328.0,49.8,Completed
PAY-00134,SAT-0055,MIS-000134,Multispectral Sensor,506,4.53,189.0,46.9,Completed
PAY-00135,SAT-0089,MIS-000135,Camera,161,2.45,155.0,33.3,Completed
PAY-00136,SAT-0010,MIS-000136,Thermal Sensor,43,5.84,190.2,44.6,Completed
PAY-00137,SAT-0100,MIS-000137,Camera,778,0.61,137.0,24.6,Completed
PAY-00138,SAT-0076,MIS-000138,Multispectral Sensor,379,5.58,229.2,52.3,Completed
PAY-00139,SAT-0031,MIS-000139,Camera,867,5.29,373.0,53.4,Completed
PAY-00140,SAT-0028,MIS-000140,SAR Radar,916,6.0,222.6,54.1,Completed
PAY-00141,SAT-0098,MIS-000141,Multispectral Sensor,111,0.92,13.2,13.1,Completed
PAY-00142,SAT-0093,MIS-000142,Multispectral Sensor,1261,6.39,288.6,64.1,Completed
PAY-00143,SAT-0073,MIS-000143,SAR Radar,1291,6.0,290.4,57.5,Completed
PAY-00144,SAT-0092,MIS-000144,Thermal Sensor,481,6.68,258.0,63.6,Completed
PAY-00145,SAT-0048,MIS-000145,Camera,372,2.79,198.0,39.2,Completed
PAY-00146,SAT-0089,MIS-000146,Communication Antenna,560,6.23,229.8,56.3,Completed
PAY-00147,SAT-0096,MIS-000147,Thermal Sensor,1186,0.59,114.0,28.4,Completed
PAY-00148,SAT-0026,MIS-000148,Communication Antenna,178,3.77,133.2,34.3,Completed
PAY-00149,SAT-0092,MIS-000149,Camera,984,3.02,263.0,40.1,Completed
PAY-00150,SAT-0052,MIS-000150,Camera,856,6.67,481.0,65.9,Completed
PAY-00151,SAT-0093,MIS-000151,Camera,273,2.01,120.0,25.9,Completed
PAY-00152,SAT-0026,MIS-000152,Camera,1425,7.31,500.0,60.9,Completed
PAY-00153,SAT-0061,MIS-000153,SAR Radar,379,6.0,79.8,30.2,Completed
PAY-00154,SAT-0090,MIS-000154,Camera,525,4.96,330.0,43.3,Completed
PAY-00155,SAT-0079,MIS-000155,Thermal Sensor,1325,7.47,300.0,62.3,Completed
PAY-00156,SAT-0044,MIS-000156,Multispectral Sensor,1146,3.95,217.2,51.8,Completed
PAY-00157,SAT-0094,MIS-000157,SAR Radar,1390,6.0,115.8,38.7,Completed
PAY-00158,SAT-0012,MIS-000158,Communication Antenna,1007,2.46,158.4,44.9,Completed
PAY-00159,SAT-0074,MIS-000159,Camera,445,2.46,201.0,35.6,Completed
PAY-00160,SAT-0056,MIS-000160,Camera,607,5.12,326.0,47.4,Completed
PAY-00161,SAT-0085,MIS-000161,Thermal Sensor,930,0.5,78.6,28.9,Completed
PAY-00162,SAT-0060,MIS-000162,Communication Antenna,243,6.17,206.4,54.1,Completed
PAY-00163,SAT-0031,MIS-000163,SAR Radar,79,6.0,156.0,48.9,Completed
PAY-00164,SAT-0056,MIS-000164,Camera,393,6.41,373.0,54.3,Completed
PAY-00165,SAT-0075,MIS-000165,SAR Radar,1138,6.0,300.0,61.7,Completed
PAY-00166,SAT-0043,MIS-000166,Thermal Sensor,58,7.39,225.6,54.6,Completed
PAY-00167,SAT-0025,MIS-000167,SAR Radar,1101,6.0,300.0,58.4,Completed
PAY-00168,SAT-0032,MIS-000168,Communication Antenna,416,7.06,261.0,59.6,Completed
PAY-00169,SAT-0034,MIS-000169,SAR Radar,1233,6.0,300.0,62.1,Completed
PAY-00170,SAT-0029,MIS-000170,Communication Antenna,936,4.2,201.0,51.2,Completed
PAY-00171,SAT-0088,MIS-000171,Thermal Sensor,488,2.46,128.4,32.1,Completed
PAY-00172,SAT-0038,MIS-000172,Communication Antenna,79,6.49,201.0,54.9,Completed
PAY-00173,SAT-0072,MIS-000173,Thermal Sensor,394,7.16,256.8,57.1,Completed
PAY-00174,SAT-0016,MIS-000174,Thermal Sensor,1361,0.5,119.4,28.2,Completed
PAY-00175,SAT-0059,MIS-000175,Camera,144,2.83,168.0,33.3,Completed
PAY-00176,SAT-0052,MIS-000176,Thermal Sensor,782,5.87,257.4,57.1,Completed
PAY-00177,SAT-0040,MIS-000177,Camera,672,5.0,345.0,53.8,Completed
PAY-00178,SAT-0003,MIS-000178,Multispectral Sensor,559,5.76,243.0,52.0,Completed
PAY-00179,SAT-0020,MIS-000179,Multispectral Sensor,623,0.66,62.4,25.3,Completed
PAY-00180,SAT-0067,MIS-000180,Camera,85,4.21,225.0,31.4,Completed
PAY-00181,SAT-0013,MIS-000181,Camera,684,0.81,109.0,29.3,Completed
PAY-00182,SAT-0057,MIS-000182,Camera,288,3.7,243.0,44.3,Completed
PAY-00183,SAT-0076,MIS-000183,Multispectral Sensor,892,6.96,298.8,66.2,Completed
PAY-00184,SAT-0002,MIS-000184,Camera,762,6.2,418.0,56.1,Completed
PAY-00185,SAT-0061,MIS-000185,Camera,481,3.17,191.0,35.8,Completed
PAY-00186,SAT-0064,MIS-000186,Camera,804,6.69,478.0,63.5,Completed
PAY-00187,SAT-0099,MIS-000187,Multispectral Sensor,190,7.26,244.2,59.2,Completed
PAY-00188,SAT-0079,MIS-000188,Multispectral Sensor,1192,1.82,136.2,43.6,Completed
PAY-00189,SAT-0056,MIS-000189,Thermal Sensor,1005,1.83,129.0,40.2,Completed
PAY-00190,SAT-0058,MIS-000190,SAR Radar,752,6.0,282.6,63.2,Completed
PAY-00191,SAT-0098,MIS-000191,SAR Radar,1031,6.0,267.0,57.3,Completed
PAY-00192,SAT-0088,MIS-000192,Camera,317,4.43,310.0,45.6,Completed
PAY-00193,SAT-0088,MIS-000193,SAR Radar,384,6.0,184.2,53.9,Completed
PAY-00194,SAT-0010,MIS-000194,Communication Antenna,561,3.58,168.6,45.4,Completed
PAY-00195,SAT-0039,MIS-000195,Thermal Sensor,1135,2.73,175.8,44.2,Completed
PAY-00196,SAT-0097,MIS-000196,Multispectral Sensor,192,2.65,102.6,32.8,Completed
PAY-00197,SAT-0067,MIS-000197,Multispectral Sensor,91,5.69,200.4,46.3,Completed
PAY-00198,SAT-0090,MIS-000198,Multispectral Sensor,246,4.02,131.4,42.6,Completed
PAY-00199,SAT-0003,MIS-000199,Thermal Sensor,1045,0.76,88.2,28.9,Completed
PAY-00200,SAT-0085,MIS-000200,Camera,1083,7.4,500.0,66.6,Completed
PAY-00201,SAT-0069,MIS-000201,Communication Antenna,514,4.21,155.4,38.7,Completed
PAY-00202,SAT-0086,MIS-000202,Communication Antenna,717,2.56,138.0,36.8,Completed
PAY-00203,SAT-0041,MIS-000203,SAR Radar,1034,6.0,273.6,59.1,Completed
PAY-00204,SAT-0018,MIS-000204,SAR Radar,136,6.0,17.4,24.9,Completed
PAY-00205,SAT-0076,MIS-000205,Multispectral Sensor,589,4.41,196.2,48.5,Completed
PAY-00206,SAT-0063,MIS-000206,Thermal Sensor,972,5.31,236.4,53.2,Completed
PAY-00207,SAT-0084,MIS-000207,SAR Radar,758,6.0,188.4,48.9,Completed
PAY-00208,SAT-0028,MIS-000208,SAR Radar,1182,6.0,280.8,61.5,Completed
PAY-00209,SAT-0018,MIS-000209,Multispectral Sensor,394,1.62,88.2,22.2,Completed
PAY-00210,SAT-0075,MIS-000210,Communication Antenna,1051,3.12,159.0,39.2,Completed
PAY-00211,SAT-0077,MIS-000211,Communication Antenna,195,3.96,134.4,42.1,Completed
PAY-00212,SAT-0049,MIS-000212,Camera,1210,4.5,415.0,55.9,Completed
PAY-00213,SAT-0016,MIS-000213,Multispectral Sensor,606,0.5,62.4,21.7,Completed
PAY-00214,SAT-0048,MIS-000214,SAR Radar,1121,6.0,202.2,45.8,Completed
PAY-00215,SAT-0019,MIS-000215,Multispectral Sensor,400,2.28,112.2,36.2,Completed
PAY-00216,SAT-0067,MIS-000216,Communication Antenna,1014,4.57,232.8,55.6,Completed
PAY-00217,SAT-0009,MIS-000217,Communication Antenna,1320,2.55,191.4,40.2,Completed
PAY-00218,SAT-0015,MIS-000218,Thermal Sensor,654,3.86,180.0,45.4,Completed
PAY-00219,SAT-0030,MIS-000219,Communication Antenna,43,6.86,232.2,58.1,Completed
PAY-00220,SAT-0026,MIS-000220,Thermal Sensor,316,1.94,75.6,25.3,Completed
PAY-00221,SAT-0074,MIS-000221,Camera,591,7.18,459.0,58.5,Completed
PAY-00222,SAT-0002,MIS-000222,Thermal Sensor,489,5.26,192.0,49.9,Completed
PAY-00223,SAT-0024,MIS-000223,SAR Radar,1046,6.0,300.0,65.1,Completed
PAY-00224,SAT-0041,MIS-000224,Thermal Sensor,97,0.69,18.6,20.5,Completed
PAY-00225,SAT-0087,MIS-000225,SAR Radar,276,6.0,247.8,57.7,Completed
PAY-00226,SAT-0079,MIS-000226,Multispectral Sensor,514,2.52,130.2,39.1,Completed
PAY-00227,SAT-0031,MIS-000227,Communication Antenna,327,3.4,146.4,39.8,Completed
PAY-00228,SAT-0032,MIS-000228,Communication Antenna,1212,0.5,117.0,30.4,Completed
PAY-00229,SAT-0082,MIS-000229,Multispectral Sensor,1164,3.61,210.6,44.4,Completed
PAY-00230,SAT-0077,MIS-000230,Thermal Sensor,610,4.84,199.8,47.1,Completed
PAY-00231,SAT-0053,MIS-000231,Thermal Sensor,185,3.92,126.0,41.5,Completed
PAY-00232,SAT-0030,MIS-000232,Camera,622,7.4,474.0,62.9,Completed
PAY-00233,SAT-0033,MIS-000233,Thermal Sensor,381,7.57,258.6,60.7,Completed
PAY-00234,SAT-0006,MIS-000234,Camera,538,0.86,81.0,25.2,Completed
PAY-00235,SAT-0061,MIS-000235,Multispectral Sensor,735,6.12,253.8,53.5,Completed
PAY-00236,SAT-0097,MIS-000236,Communication Antenna,60,3.66,121.2,38.4,Completed
PAY-00237,SAT-0077,MIS-000237,Communication Antenna,1185,4.77,253.2,58.3,Completed
PAY-00238,SAT-0064,MIS-000238,Multispectral Sensor,484,0.52,45.0,16.0,Completed
PAY-00239,SAT-0047,MIS-000239,Communication Antenna,954,6.68,300.0,60.7,Completed
PAY-00240,SAT-0010,MIS-000240,Multispectral Sensor,355,3.49,153.0,42.0,Completed
PAY-00241,SAT-0022,MIS-000241,Communication Antenna,253,4.84,181.2,47.9,Completed
PAY-00242,SAT-0096,MIS-000242,Communication Antenna,30,0.98,9.0,20.5,Completed
PAY-00243,SAT-0020,MIS-000243,Multispectral Sensor,403,4.65,192.6,40.7,Completed
PAY-00244,SAT-0013,MIS-000244,Camera,1129,6.93,500.0,63.5,Completed
PAY-00245,SAT-0073,MIS-000245,Camera,101,6.5,331.0,49.1,Completed
PAY-00246,SAT-0034,MIS-000246,Thermal Sensor,213,1.58,69.6,26.7,Completed
PAY-00247,SAT-0086,MIS-000247,SAR Radar,516,6.0,235.2,51.1,Completed
PAY-00248,SAT-0011,MIS-000248,Communication Antenna,1255,6.89,300.0,59.1,Completed
PAY-00249,SAT-0086,MIS-000249,Camera,390,0.5,59.0,18.2,Completed
PAY-00250,SAT-0049,MIS-000250,SAR Radar,779,6.0,118.2,29.5,Completed
PAY-00251,SAT-0039,MIS-000251,Camera,912,4.19,310.0,47.5,Completed
PAY-00252,SAT-0079,MIS-000252,Multispectral Sensor,1398,4.73,274.8,53.9,Completed
PAY-00253,SAT-0073,MIS-000253,SAR Radar,196,6.0,108.6,33.8,Completed
PAY-00254,SAT-0004,MIS-000254,Multispectral Sensor,357,5.53,220.2,54.8,Completed
PAY-00255,SAT-0005,MIS-000255,Multispectral Sensor,343,6.49,223.2,54.9,Completed
PAY-00256,SAT-0049,MIS-000256,Communication Antenna,786,6.38,262.2,62.7,Completed
PAY-00257,SAT-0057,MIS-000257,Communication Antenna,680,3.59,173.4,40.9,Completed
PAY-00258,SAT-0053,MIS-000258,Thermal Sensor,1294,1.98,155.4,42.8,Completed
PAY-00259,SAT-0066,MIS-000259,Thermal Sensor,271,2.77,104.4,28.4,Completed
PAY-00260,SAT-0026,MIS-000260,SAR Radar,731,6.0,177.6,44.1,Completed
PAY-00261,SAT-0072,MIS-000261,Communication Antenna,522,1.95,81.0,24.7,Completed
PAY-00262,SAT-0072,MIS-000262,Thermal Sensor,1343,0.77,111.6,34.0,Completed
PAY-00263,SAT-0027,MIS-000263,SAR Radar,1422,6.0,240.6,52.2,Completed
PAY-00264,SAT-0081,MIS-000264,Thermal Sensor,358,3.18,118.2,36.7,Completed
PAY-00265,SAT-0026,MIS-000265,Multispectral Sensor,744,2.97,152.4,37.1,Completed
PAY-00266,SAT-0062,MIS-000266,Thermal Sensor,682,7.01,283.2,62.4,Completed
PAY-00267,SAT-0004,MIS-000267,SAR Radar,835,6.0,190.8,40.5,Completed
PAY-00268,SAT-0039,MIS-000268,Camera,1317,3.81,383.0,55.6,Completed
PAY-00269,SAT-0017,MIS-000269,Camera,1249,0.5,185.0,36.7,Completed
PAY-00270,SAT-0027,MIS-000270,Thermal Sensor,480,3.97,159.6,42.9,Completed
PAY-00271,SAT-0022,MIS-000271,Communication Antenna,101,0.5,13.8,19.0,Completed
PAY-00272,SAT-0092,MIS-000272,SAR Radar,830,6.0,82.2,32.0,Completed
PAY-00273,SAT-0047,MIS-000273,Thermal Sensor,669,0.5,67.8,25.1,Completed
PAY-00274,SAT-0069,MIS-000274,Camera,373,2.07,132.0,33.1,Completed
PAY-00275,SAT-0015,MIS-000275,Communication Antenna,278,3.37,142.2,39.8,Completed
PAY-00276,SAT-0085,MIS-000276,Camera,844,1.31,206.0,37.5,Completed
PAY-00277,SAT-0052,MIS-000277,Multispectral Sensor,1395,0.7,122.4,36.8,Completed
PAY-00278,SAT-0085,MIS-000278,Multispectral Sensor,1219,3.04,173.4,44.0,Completed
PAY-00279,SAT-0083,MIS-000279,Communication Antenna,909,3.81,195.0,41.8,Completed
PAY-00280,SAT-0005,MIS-000280,Camera,848,5.58,434.0,54.2,Completed
PAY-00281,SAT-0040,MIS-000281,Communication Antenna,691,5.31,207.6,50.0,Completed
PAY-00282,SAT-0074,MIS-000282,Communication Antenna,910,2.68,159.0,36.4,Completed
PAY-00283,SAT-0085,MIS-000283,Multispectral Sensor,1018,3.48,209.4,53.1,Completed
PAY-00284,SAT-0022,MIS-000284,SAR Radar,402,6.0,255.0,58.4,Completed
PAY-00285,SAT-0058,MIS-000285,Multispectral Sensor,167,5.04,165.0,43.4,Completed
PAY-00286,SAT-0076,MIS-000286,Camera,471,0.67,78.0,21.0,Completed
PAY-00287,SAT-0085,MIS-000287,Multispectral Sensor,1380,0.86,130.2,30.2,Completed
PAY-00288,SAT-0036,MIS-000288,Multispectral Sensor,486,1.88,82.2,32.3,Completed
PAY-00289,SAT-0023,MIS-000289,SAR Radar,337,6.0,223.8,49.0,Completed
PAY-00290,SAT-0086,MIS-000290,Camera,840,5.11,374.0,49.9,Completed
PAY-00291,SAT-0039,MIS-000291,Camera,783,2.28,230.0,42.5,Completed
PAY-00292,SAT-0081,MIS-000292,Camera,66,4.64,283.0,46.1,Completed
PAY-00293,SAT-0006,MIS-000293,SAR Radar,676,6.0,250.8,54.1,Completed
PAY-00294,SAT-0081,MIS-000294,Thermal Sensor,270,4.46,169.8,47.0,Completed
PAY-00295,SAT-0042,MIS-000295,SAR Radar,119,6.0,101.4,28.5,Completed
PAY-00296,SAT-0001,MIS-000296,Communication Antenna,1280,3.99,217.8,53.1,Completed
